Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	10.782649	12.11476	43.68479	-8.735269	36.81132	-0.29351044	0.053275153	-0.06944542	-0.45052892	4000	-2.2351742e-08	78.37203	-0.029649202	-12.874767	0.9189422	0.015031982	0.17275	73.0	1.8209953308105469
1	11.839334	13.488013	65.132935	-9.754022	39.02	1.8139588	0.502629	2.5311131	-1.1012278	8000	-1.4901161e-08	84.57939	-0.028608847	-7.611556	0.9172378	0.015041947	0.17324999	53.0	3.581463575363159
2	12.176751	12.571909	45.534225	-22.497078	34.732143	3.240395	1.211364	4.143201	-4.011893	12000	-1.6763806e-08	81.337585	-0.029806368	-5.8886156	0.9131922	0.013147234	0.20025	79.0	5.364053010940552
3	12.109883	11.710482	49.791958	-17.980186	35.590908	3.2686045	2.6141133	5.4214306	-5.374954	16000	-3.7252903e-09	57.335075	-0.034149744	-2.1049976	0.9046578	0.013210202	0.222	79.0	7.136593580245972
4	13.480028	14.3209	59.504948	-19.864624	35.833332	3.5489054	2.398938	5.8990293	-5.411887	20000	0.0	100.255875	-0.018921774	-8.520443	0.90113235	0.015243946	0.1515	14.0	8.705423593521118
5	12.824306	13.268211	62.58656	-7.5189734	35.70909	4.6750684	3.3001118	7.293374	-6.3670344	24000	-1.4901161e-08	79.40982	-0.03265345	-4.815216	0.8980056	0.015058802	0.21124999	64.0	10.381569862365723
6	11.576083	12.213893	48.864456	-9.819143	35.945454	4.2580595	3.4323993	7.9061584	-6.3749313	28000	2.3283064e-08	54.999092	-0.031862013	-4.058429	0.8932912	0.015019453	0.20725	67.0	12.052962064743042
7	13.978046	13.559864	54.263905	-10.690499	35.963303	4.01738	3.1593869	8.212581	-6.153001	32000	0.0	77.36436	-0.027440747	-6.8960457	0.89314604	0.015212853	0.19225001	36.0	13.731220960617065
8	14.297179	13.0765505	47.610928	-9.460538	35.09009	5.513778	3.4933882	9.296446	-7.1346908	36000	4.656613e-09	66.251526	-0.031943068	-6.2371454	0.88928497	0.015072692	0.21625	53.0	15.587116003036499
9	14.028131	13.188193	79.57542	-6.8458905	38.058254	5.529784	3.936467	10.207013	-8.043141	40000	1.1175871e-08	70.037766	-0.031602968	-6.3992066	0.8822981	0.015007867	0.20975	72.0	17.314043521881104
10	14.97289	11.657089	51.73784	-9.126224	37.561905	5.574603	3.3457115	10.349111	-5.3514166	44000	-3.7252903e-09	61.51494	-0.031485923	-8.121251	0.8798101	0.015058531	0.20025	77.0	19.0437171459198
11	14.649873	12.598632	57.995472	-8.563545	36.87037	5.88373	3.764737	10.741792	-7.0747433	48000	1.8626451e-09	70.56975	-0.03461473	-10.409424	0.87835974	0.015048422	0.24075	64.0	20.67746663093567
12	16.479063	14.431523	68.09015	-17.715733	40.010204	5.296414	4.258322	11.47853	-8.260226	52000	1.3038516e-08	80.37	-0.022812063	-9.081186	0.8719497	0.015509395	0.19275	19.0	22.201926231384277
13	16.90754	12.519287	58.151768	-10.462148	39.22	6.644079	4.589553	12.63548	-10.933553	56000	0.0	76.806625	-0.030610071	-9.659375	0.8687428	0.015025697	0.2195	44.0	23.78055191040039
14	17.091612	13.997961	63.77989	-10.025125	42.333332	6.09088	4.6151547	12.939865	-6.8850694	60000	-6.9849193e-09	75.639656	-0.027760409	-9.433709	0.8604217	0.015101783	0.1765	35.0	25.315999031066895
15	20.06537	14.419881	83.37694	-6.34977	38.51	6.395614	4.718104	13.406371	-3.5944698	64000	-7.450581e-09	87.08124	-0.03518769	-12.897329	0.8595473	0.015012036	0.23175	72.0	27.00721001625061
16	18.750463	13.067675	54.484547	-9.097739	38.42157	8.390716	5.518087	14.922192	-6.57146	68000	3.0267984e-08	54.029163	-0.037397698	-9.467691	0.85240775	0.014819995	0.257	79.0	28.757075786590576
17	18.688927	11.2943735	57.995605	-4.4847174	39.316326	7.5278873	5.5523443	15.51603	-4.527306	72000	-3.7252903e-09	55.04685	-0.036179	-6.8063426	0.85388595	0.015016763	0.246	70.0	30.52696967124939
18	24.686476	22.309408	144.88898	-4.055162	42.597828	8.041874	5.1335244	15.912284	-3.9566998	76000	1.6763806e-08	224.7865	-0.026340043	-40.775757	0.8527824	0.0150658935	0.2	23.0	32.134934425354004
19	24.042088	17.965944	128.02711	-3.58326	40.459183	12.102036	6.6133647	18.21128	-11.765198	80000	8.8475645e-09	108.82205	-0.033419512	-18.483673	0.8506951	0.015039574	0.22850001	75.0	33.891210079193115
20	20.192505	16.176424	72.08994	-7.215441	39.53	10.607785	6.827269	19.55691	-5.106477	84000	-2.7939677e-09	97.25454	-0.025461216	-15.712084	0.8463164	0.015262365	0.2015	31.0	35.44789385795593
21	24.436857	18.846714	92.43222	-9.0726795	40.42105	8.89327	5.89832	19.592817	-8.355927	88000	-7.450581e-09	143.30353	-0.032865673	-33.03426	0.84369326	0.015000575	0.23525	48.0	37.04227375984192
22	24.850714	17.61427	89.20659	-11.495117	43.2	11.984532	6.9919734	20.839231	-2.389251	92000	-2.2351742e-08	108.27078	-0.030001592	-14.630095	0.8472644	0.015071629	0.181	41.0	38.838008642196655
23	26.038696	22.588001	142.6345	-8.458535	42.45652	11.272985	7.3939843	21.344326	-9.502422	96000	-5.5879354e-09	174.42563	-0.034101054	-21.28886	0.84379804	0.015010399	0.2455	77.0	40.92263317108154
24	25.61186	22.189777	161.56783	-6.2356563	42.46154	12.511141	7.6216435	22.851168	-5.3414273	100000	-1.4901161e-08	168.89407	-0.025663685	-20.163052	0.83956265	0.0151642645	0.21925	22.0	42.80143356323242
25	29.611946	20.83159	111.196556	-13.232944	44.202248	11.742495	7.773635	24.104326	-10.445184	104000	-9.313226e-09	132.50146	-0.03766693	-27.108578	0.8352811	0.0085977	0.25225002	79.0	44.81210422515869
26	25.751167	19.182137	108.68513	-4.980164	43.233334	14.13544	8.564712	25.751936	-4.951297	108000	1.1175871e-08	126.25794	-0.024178328	-22.968054	0.83480173	0.015406784	0.2115	18.0	46.36190724372864
27	28.18176	19.194782	76.43996	-25.7717	45.302326	12.941681	7.9539466	25.805227	-7.0927997	112000	1.4901161e-08	137.10713	-0.032762527	-20.132458	0.83065695	0.01501996	0.21975	70.0	48.101855993270874
28	30.09431	18.398985	86.220276	-4.0680165	41.48936	12.935664	7.7867675	25.892635	-3.9287238	116000	-1.21071935e-08	118.0567	-0.03400239	-21.863853	0.82497114	0.015055185	0.23075	59.0	49.855019092559814
29	27.646116	16.767578	106.22068	-2.620898	41.87234	15.239344	8.609903	26.44301	-8.950758	120000	-1.4901161e-08	92.00484	-0.022062697	-16.134556	0.82253265	0.015176168	0.17774999	18.0	51.44796800613403
30	31.238209	17.7769	90.57073	-6.4194064	45.252872	14.279435	8.267983	26.246841	-3.7998383	124000	-7.450581e-09	86.32663	-0.03778381	-9.069993	0.8208097	0.012092577	0.254	79.0	53.164578914642334
31	29.355778	18.5048	96.64841	-2.914346	42.064518	13.966391	8.430497	27.095564	-6.7300773	128000	-3.7252903e-09	94.68004	-0.019566935	-12.472462	0.8171942	0.015320638	0.2075	15.0	54.64515519142151
32	29.628908	18.75424	86.02861	-4.1315722	42.434784	13.849636	8.989554	27.483139	-5.258862	132000	1.4901161e-08	108.07335	-0.03623257	-15.652864	0.816444	0.013454759	0.25349998	79.0	56.2695848941803
33	30.044407	20.856844	101.878685	-1.8293619	42.365593	14.138401	8.59693	27.649603	-3.1549466	136000	3.7252903e-09	134.46877	-0.0274096	-24.540823	0.8169163	0.015165487	0.21675	26.0	57.988526344299316
34	30.399027	14.300547	95.05163	-2.2129579	42.54348	15.839167	9.046034	28.756386	-8.064085	140000	0.0	97.34005	-0.019612083	-25.222868	0.81765217	0.01502994	0.19350001	13.0	59.68193078041077
35	32.05236	18.169472	102.35427	-1.2128513	44.022472	13.791175	7.786892	27.722157	-3.826888	144000	3.7252903e-09	102.73775	-0.032663804	-17.736792	0.8150979	0.015009935	0.21700001	49.0	61.47050714492798
36	31.355368	17.866995	113.19713	-0.84496796	42.70652	16.190207	8.972572	29.006195	-4.8723392	148000	-2.2351742e-08	106.930176	-0.026357893	-13.72342	0.8108883	0.015026434	0.19874999	20.0	63.09653425216675
37	34.345455	20.951435	108.95438	-4.5716863	43.94382	15.0434065	8.244083	29.226387	-5.877969	152000	-2.2351742e-08	142.82532	-0.024412313	-28.913988	0.80723214	0.015373434	0.20525	19.0	64.89909720420837
38	34.98283	19.827774	109.605	-5.7673464	45.220932	16.602789	9.84394	30.519299	-8.733352	156000	8.381903e-09	119.464775	-0.037419904	-23.70226	0.8040073	0.011071041	0.23975	79.0	66.92080116271973
39	34.456715	17.831915	85.61725	-7.5892878	42.68132	17.947426	9.781643	31.112833	-8.670685	160000	-7.450581e-09	84.43294	-0.03912115	-14.90047	0.8014934	0.01294448	0.2555	79.0	68.68953967094421
40	35.90155	17.784533	105.33402	0.56294054	43.9	17.613781	10.21335	31.7474	-10.444753	164000	-1.8626451e-09	103.640526	-0.024343172	-19.399364	0.7929296	0.015123085	0.19825	22.0	70.31373906135559
41	35.1536	14.9302025	86.592926	1.7853017	42.408604	16.819374	10.183861	32.076763	-5.6956697	168000	-7.450581e-09	89.17565	-0.040068857	-26.118706	0.7915845	0.015057394	0.277	75.0	72.06059169769287
