Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	58.219326	21.291576	133.53397	28.19042	41.861702	-0.2010895	0.0465746	-0.050821185	-0.35482517	4000	8.940697e-08	1093.7079	-0.02094509	-130.43678	0.918941	0.011186935	0.12	79.0	2.3009328842163086
1	58.61872	17.55163	114.389786	27.93028	41.723404	2.3786933	0.23920979	2.7164638	0.26491627	8000	-7.0780516e-08	887.8191	-0.0219097	-100.1992	0.9133311	0.011840714	0.13800001	79.0	4.594299077987671
2	62.49435	22.523207	132.5013	27.573452	44.625	4.5255938	0.08604883	4.5919976	3.7706358	12000	-1.527369e-07	957.6898	-0.024016924	-76.18791	0.9184088	0.013981812	0.14675	79.0	6.849498271942139
3	68.84326	26.047035	153.08286	24.725832	49.50633	6.1749544	0.047888447	6.2061157	5.601323	16000	-1.2665987e-07	1069.982	-0.024927443	-76.99858	0.91998965	0.014491002	0.16625	79.0	9.057139873504639
4	70.87362	29.706182	201.02043	33.560078	49.569622	7.758654	0.04875868	7.7831697	7.070177	20000	-5.2154064e-08	1146.9067	-0.012773555	-73.16345	0.9155111	0.015043824	0.167	13.0	10.915131568908691
5	76.98481	34.96214	236.64676	30.7673	53.88889	9.279692	0.032008223	9.295136	8.531823	24000	4.4703484e-08	1309.3812	-0.026821723	-77.480835	0.9163496	0.013230395	0.17675	79.0	13.101693630218506
6	71.31466	24.267155	128.22133	32.972496	50.402596	10.808887	0.33418	10.825135	-10.225833	28000	-5.401671e-08	893.36395	-0.025790866	-52.911728	0.91521764	0.015092758	0.16600001	70.0	15.300446271896362
7	74.32731	27.757757	182.95964	31.705532	51.592106	12.093985	0.07450546	12.105764	9.648559	32000	3.259629e-08	948.1437	-0.020453906	-53.121902	0.91749024	0.0150297675	0.1335	37.0	17.325982332229614
8	75.51121	29.283857	152.98694	31.103655	53.5	13.376188	0.010521153	13.381651	13.180664	36000	1.8626451e-08	956.14154	-0.024773696	-50.688156	0.9175005	0.013891503	0.145	79.0	19.721815824508667
9	78.66922	31.566511	216.92723	38.03767	54.7	14.623468	0.480872	14.63895	-10.039794	40000	5.5413693e-08	1018.426	-0.026420161	-52.046387	0.91833335	0.015032643	0.16775	56.0	21.847867012023926
10	88.9852	37.555847	207.018	35.87458	63.233334	15.911921	0.012299625	15.916689	15.639149	44000	1.8626451e-08	1237.426	-0.020566154	-63.614594	0.9096117	0.015005054	0.15425	33.0	23.861393928527832
11	90.64734	40.95449	244.38501	35.701775	61.88889	17.316391	0.03791222	17.322903	16.006584	48000	-4.4703484e-08	1315.9854	-0.026832793	-64.90555	0.9087805	0.0150407	0.17375001	65.0	25.925987005233765
12	80.96313	31.456137	189.91287	36.201683	59.045456	18.716715	0.7463788	18.741213	-16.18744	52000	7.916242e-09	847.8679	-0.021527283	-36.198135	0.90889764	0.015241837	0.1225	27.0	28.016603231430054
13	83.91962	31.878706	165.37772	31.516024	59.276924	19.762487	1.3150172	19.827572	-17.64791	56000	6.61239e-08	917.5759	-0.026899401	-36.79225	0.90645665	0.014620183	0.16325	79.0	30.384984254837036
14	98.07924	44.12913	231.30557	25.770493	66.81035	20.887796	0.44702557	20.912329	3.3280149	60000	5.122274e-08	1352.5845	-0.026408494	-67.16193	0.90071297	0.015040446	0.162	72.0	32.617727756500244
15	95.93117	30.89597	213.48204	36.462193	64.96667	22.106407	2.27815	22.322435	-20.294525	64000	-5.2154064e-08	998.07983	-0.029160215	-56.476807	0.8969	0.0142540345	0.16575	79.0	34.949049949645996
16	86.38841	34.816093	209.91638	34.154083	60.276924	22.469791	3.8688552	23.558819	-11.111852	68000	0.0	852.87396	-0.023278533	-48.051147	0.89528173	0.015085941	0.14675	33.0	37.063578844070435
17	96.11383	38.556656	230.94952	41.618893	66.27586	23.19708	4.4256907	24.607006	-15.65514	72000	3.3527613e-08	1023.1505	-0.026496012	-59.563263	0.8934381	0.015033063	0.1725	57.0	39.15567588806152
18	98.438805	40.59658	214.40302	36.613148	67.73684	23.796179	5.7893867	25.852238	-19.760765	76000	3.632158e-08	1020.81384	-0.024421196	-54.652496	0.8905479	0.015025816	0.1535	43.0	41.28580188751221
19	95.64391	42.907658	263.64532	39.937313	65.72881	24.408566	6.6129737	27.110271	-24.17346	80000	-4.4703484e-08	987.75305	-0.024710402	-59.869965	0.89020514	0.015040948	0.16225001	67.0	43.46388816833496
20	88.51815	34.84907	178.2859	38.39219	61.129032	26.317339	5.845425	28.341398	-25.68226	84000	5.2154064e-08	759.30225	-0.029756885	-62.18048	0.8877208	0.015021051	0.1975	77.0	45.914037466049194
21	104.672615	42.417236	258.459	44.092976	70.31481	25.734346	8.223489	29.364275	-25.805109	88000	1.4901161e-08	1015.26587	-0.02389855	-68.23987	0.8782557	0.015117668	0.147	32.0	48.00957679748535
22	103.09228	35.826466	205.55324	49.761475	70.145454	26.295734	9.330948	30.707214	-27.650757	92000	6.3329935e-08	818.8198	-0.02237051	-61.221924	0.8754116	0.015071821	0.139	30.0	50.192099809646606
23	95.0134	34.18906	189.18524	30.448801	66.75439	26.707684	9.62665	31.934853	-25.149185	96000	3.9115548e-08	624.5792	-0.023796285	-41.207214	0.87142026	0.015066922	0.163	42.0	52.48642015457153
24	111.47385	42.982864	216.99986	44.04779	76.58	27.59464	9.962577	32.92659	-13.157888	100000	7.450581e-09	977.89667	-0.012453013	-61.65628	0.87147915	0.016090058	0.14500001	12.0	54.388317823410034
25	93.65817	38.1185	252.8375	35.379524	64.066666	28.036137	10.282408	34.253613	-12.582416	104000	2.9802322e-08	664.272	-0.022378149	-46.6192	0.87083644	0.015107858	0.15349999	30.0	56.667083740234375
26	112.49129	41.34345	222.85234	46.864826	76.21568	30.013561	10.0000725	35.248024	-10.214031	108000	1.8626451e-08	819.5316	-0.023595497	-54.743835	0.8666137	0.0150294695	0.169	39.0	58.828569650650024
