Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-29.594269	403.63992	36.726635	-5664.548	18.814634	0.111884825	0.08153675	0.32776034	-0.21020108	4000	1.4901161e-08	158274.73	-0.03725616	-762.85333	0.9189419	0.015005865	0.14175001	46.0	1.4885451793670654
1	-36.585308	329.29486	212.5538	-2733.1812	24.258064	-1.3617139	1.2166909	2.1632545	-2.833759	8000	0.0	189964.78	-0.03800665	-264.88477	0.92183495	0.01517712	0.155	34.0	2.9052515029907227
2	-18.494776	233.12798	546.5375	-2026.127	20.248676	-2.746319	1.3742596	3.305975	-3.9495623	12000	2.2351742e-08	149164.6	-0.030407634	-303.9668	0.9232838	0.015010273	0.1245	29.0	4.28458046913147
3	-40.859856	405.08023	1114.5618	-3504.907	21.72	-2.580504	3.2467904	5.076113	-5.4010296	16000	5.5879354e-09	157847.5	-0.051716737	-386.8501	0.9204715	0.015001874	0.20975	67.0	5.743696212768555
4	-4.9287496	239.88808	1175.8358	-2806.067	17.71875	0.71393174	5.2115817	6.5765395	-6.959517	20000	-7.450581e-09	87159.375	-0.050003972	-215.96262	0.92017764	0.011114662	0.22125	79.0	7.256444692611694
5	59.93753	462.14838	5285.4824	-429.60434	19.716417	1.0457693	6.1205053	7.1786532	-7.607349	24000	-2.9802322e-08	266551.22	-0.051491313	-2909.3384	0.9128877	0.008993251	0.1795	79.0	8.7634117603302
6	32.721283	381.86914	4078.0776	-1643.9421	22.146498	3.6438837	5.2797847	6.8862863	-7.077289	28000	2.2351742e-08	229779.55	-0.046158038	-596.21924	0.90055066	0.015109079	0.215	50.0	10.197653770446777
7	-4.442115	288.18994	1135.9768	-3806.3403	17.195122	4.4840474	5.2830625	7.545962	-7.660237	32000	5.5879354e-09	213541.05	-0.04380276	-717.0288	0.8982168	0.01508075	0.19375	43.0	11.590555667877197
8	7.2339425	44.397823	31.309679	-666.9494	15.161417	4.877262	4.5209093	7.278605	-7.4737754	36000	-2.7939677e-09	1946.7556	-0.029213674	-9.757303	0.8962377	0.006187126	0.14425	79.0	13.08245325088501
9	-18.479935	224.102	108.388565	-2129.386	17.375566	4.379032	4.869327	7.1983056	-7.4118958	40000	-7.450581e-09	55681.4	-0.026726926	-274.35602	0.891232	0.015399825	0.13425	16.0	14.434903383255005
