Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-31.585337	8.577974	-15.274141	-59.46156	19.37255	0.14784086	0.04810916	0.37703526	-0.010401025	1000	-1.4686584e-07	400.54926	-0.104928285	-168.92505	0.91894335	0.0042586345	0.357	79.0	1.8747713565826416
1	-31.932482	6.809603	-18.759361	-45.661015	18.849056	-5.399183	2.1554773	-0.4545214	-13.454125	2000	-1.8322467e-07	227.92622	-0.110169835	-189.02081	0.91382915	-0.00552769	0.41	79.0	3.8212625980377197
2	-30.110687	8.864289	-15.192598	-58.02034	19.411764	-16.71507	7.47239	-0.5635789	-32.21455	3000	1.525879e-08	53.21419	-0.111172676	-15.261829	0.9077688	0.00036719895	0.437	79.0	5.748905897140503
3	-29.475794	7.735172	-10.377702	-48.992355	18.773584	-15.368507	7.9474273	-0.47986454	-31.55136	4000	9.834767e-09	35.635387	-0.046722602	-9.266371	0.8974406	0.015308562	0.156	12.0	7.696455001831055
4	-28.117672	6.7351427	-15.03299	-47.950493	18.54717	-16.515528	7.8473997	-1.0246114	-34.164696	5000	1.1384487e-08	31.288021	-0.08543529	-9.161713	0.8935558	0.015050855	0.339	31.0	9.53602385520935
5	-26.463718	7.63985	-11.395912	-47.884624	19.153847	-15.249716	6.9403896	-0.882344	-30.533699	6000	-2.2411346e-08	36.076515	-0.08309166	-8.74995	0.88330287	0.015171648	0.263	29.0	11.307945489883423
6	-24.781097	8.362536	-10.791923	-51.761494	19.115385	-14.329802	6.725985	-0.94922125	-26.87977	7000	-5.00381e-08	46.508423	-0.05847332	-11.441528	0.8744096	0.01533161	0.199	18.0	12.977415084838867
7	-24.711363	5.6270947	-10.256977	-35.446014	18.98077	-14.072814	5.6086674	-0.84005094	-26.524837	8000	-2.090633e-08	30.256731	-0.12170308	-11.019623	0.8696449	0.010909073	0.486	79.0	14.921591758728027
8	-22.898266	6.7615223	-6.3810415	-40.53515	19.0	-14.393158	6.1653953	-0.67261124	-27.805338	9000	-3.6641023e-08	29.213223	-0.044791643	-10.841492	0.8617155	0.01572249	0.172	11.0	16.661059141159058
9	-23.452255	6.2050543	-11.652856	-41.058056	19.294117	-12.631521	5.12489	-1.9004259	-22.278881	10000	-3.0789526e-08	24.626135	-0.120239325	-6.021553	0.8600559	0.006996678	0.486	79.0	18.620317697525024
