Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1534.0009	151.38339	-1298.5944	-1845.0619	200.0	0.09378879	0.19906119	0.4785332	-0.2901575	4000	8.010864e-08	247502.19	-0.001946321	-3638.5469	0.91893786	0.0013566978	0.039	79.0	2.3624703884124756
1	-1562.2996	170.67824	-1311.835	-1880.9813	200.0	-4.065414	0.66854095	0.06671034	-4.5191665	8000	-9.346008e-08	251382.92	-0.00100775	-4101.1562	0.9134996	0.0014390824	0.02325	79.0	4.422428369522095
2	-1476.6106	244.27286	-1116.9498	-1869.1139	200.0	-8.244867	1.2453895	-1.1366212	-8.729283	12000	8.4877016e-08	227731.2	-0.0021229477	-3049.7656	0.9099443	0.00076219934	0.04275	79.0	6.297041177749634
3	-1596.1058	208.926	-1251.4575	-1897.0918	200.0	-11.83652	0.22553535	-8.820975	-11.900314	16000	1.2969971e-07	251539.33	-0.00082120224	-2858.1406	0.90428364	-0.00014849061	0.02425	79.0	8.226458549499512
4	-1556.0278	216.28021	-1230.3088	-1855.032	200.0	-14.948889	0.2722284	-12.047423	-15.016475	20000	-1.9550323e-07	237622.56	-0.0009877072	-2607.8281	0.90186906	-0.0002152459	0.019	79.0	10.10880184173584
5	-1573.4695	194.00208	-1205.5786	-1880.993	200.0	-17.906164	0.12568343	-16.248695	-17.936983	24000	-1.487732e-07	238268.1	-0.0013402443	-2528.5469	0.9003902	0.00075606786	0.02275	79.0	11.965859651565552
6	-1472.4624	231.3422	-1106.1594	-1897.81	200.0	-20.735853	0.19619022	-19.16621	-20.786718	28000	8.630752e-08	210727.6	-0.0013649496	-2228.2969	0.8995971	-5.414775e-05	0.033	79.0	13.835673332214355
7	-1588.5105	195.24864	-1249.816	-1832.2563	200.0	-23.440649	0.055758916	-22.571049	-23.452368	32000	2.2888184e-08	236104.53	-0.0024350395	-2431.125	0.8950179	0.0009875864	0.0455	79.0	15.711938858032227
8	-1531.7029	244.26544	-1050.2063	-1865.955	200.0	-26.203894	0.07575526	-25.417578	-26.222572	36000	3.9672852e-07	220276.75	-0.0007745586	-2256.4531	0.8886358	8.5366446e-05	0.0235	79.0	17.577492475509644
9	-1556.9282	219.95108	-1195.9949	-1892.0155	200.0	-28.88913	0.0347403	-28.36419	-28.897577	40000	1.6212464e-08	223337.94	-0.0018494038	-2279.2344	0.8834589	0.0015767908	0.04075	79.0	19.461146354675293
