Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-31.451332	7.477179	-14.40194	-59.138287	20.763159	0.057981115	0.06783355	0.3093016	-0.19266583	4000	-4.9360096e-08	360.04108	-0.038765736	-110.21127	0.91894335	0.0152015705	0.117750004	26.0	2.084928274154663
1	-29.311451	8.764152	-13.025251	-54.2516	20.852633	-3.6905513	0.28934568	2.1455169	-3.7818942	8000	-5.7742e-08	234.6756	-0.027034335	-37.223995	0.9129474	0.015014228	0.08925	17.0	4.10711145401001
2	-26.98576	7.204169	-6.0918236	-54.75592	20.371134	-5.3496633	0.1264137	-1.0179363	-5.369741	12000	-1.1175871e-08	149.55997	-0.033665944	-20.613783	0.908041	0.015300632	0.14475	21.0	6.181535482406616
3	-26.634245	7.8664703	-10.301988	-58.963623	20.806282	-6.55832	0.09782639	-3.906197	-6.571014	16000	5.2154064e-08	131.47223	-0.027471388	-16.367928	0.9022835	0.015876297	0.08975	20.0	8.224086284637451
4	-24.26343	7.5386972	-6.0214777	-47.737167	21.241936	-7.6613946	0.011547575	-7.1783977	-7.6659074	20000	-3.562309e-08	91.51093	-0.06383848	-8.61091	0.896873	0.0150424745	0.228	79.0	10.43861174583435
5	-21.54803	6.8931427	-5.4801106	-43.046535	20.847368	-8.4993515	0.00796103	-8.246881	-8.502573	24000	-2.0489097e-08	54.36721	-0.023511305	-2.8335867	0.88031894	0.015122654	0.095750004	14.0	12.484593152999878
6	-20.64411	6.2368207	-5.9199433	-41.190994	21.402174	-9.011417	0.009467843	-8.612874	-9.014439	28000	2.3283064e-08	43.888557	-0.06389905	-1.3374147	0.8778682	0.015064442	0.21175	67.0	14.717000246047974
7	-19.113432	6.6522436	-7.3024187	-52.69001	21.548914	-9.374564	0.008532572	-9.030686	-9.377411	32000	-1.4901161e-08	40.59973	-0.020502541	-0.4190879	0.86277634	0.015695913	0.08975	9.0	16.76146149635315
8	-17.92462	6.5602036	-2.5946	-44.108315	21.143618	-9.585951	0.11168859	-4.670689	-9.593175	36000	-9.313226e-09	34.624546	-0.012833569	-0.058034897	0.8607859	0.015305569	0.1125	9.0	18.871703147888184
9	-17.492577	5.586399	-2.3337436	-32.34604	20.957447	-9.635188	0.1723686	-2.7327905	-9.645405	40000	-2.4214387e-08	27.304516	-0.022169178	-0.17448854	0.8582025	0.015197303	0.0615	11.0	20.909477710723877
