Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-32.89549	8.139297	-14.074518	-68.36391	-27.561676	17.346878	8.207575	-55.05922	19.747837	22.825	3999	-1.3623838	1.9633069	6.4554935	-17.00595	-0.6118911	0.9590641	16.016687393188477
2	-32.03231	7.906339	-12.476398	-61.63776	-22.94874	11.262463	7.9634027	-45.164146	19.63882	20.9	7999	11.6373825	16.08602	103.22444	-32.135017	-15.939369	2.9039578	35.22713756561279
3	-26.788782	17.16175	47.560574	-112.97294	-24.293783	37.50889	56.618446	-95.76981	23.78209	35.8	11999	46.75067	49.019207	196.90814	-36.396057	-54.011066	12.754832	55.58572697639465
4	-21.290995	44.126915	43.49214	-615.08514	-24.677256	25.474287	23.136925	-82.954575	37.26744	38.95	15999	53.22429	55.418324	224.3801	-37.975536	-59.259563	29.966911	76.33995270729065
5	-30.33762	34.9344	39.878887	-285.89984	-47.21234	95.8075	21.046959	-628.939	42.392	40.4	19999	57.134804	56.981182	269.447	-42.299088	-63.02795	41.52674	97.61359477043152
6	-33.160816	28.067205	48.788746	-149.7322	-51.898945	69.02785	-0.95154345	-445.72818	39.212196	38.375	23999	60.240067	56.66461	252.93033	-119.15133	-65.47222	46.15466	119.40306401252747
7	-44.000835	28.817207	45.31228	-168.78421	-60.02996	36.830147	-1.617315	-138.47452	36.505695	35.35	27999	60.021156	53.154724	234.9951	-253.01888	-64.84612	46.45185	140.34608793258667
8	-49.986164	30.312216	20.973196	-219.40022	-50.574642	41.01504	0.66256213	-210.50354	37.289043	35.8	31999	59.588146	48.67884	212.39397	-368.59113	-64.22901	48.076023	161.07824039459229
9	-50.861065	47.84384	554.6839	-158.0667	-57.463646	33.879276	-11.908627	-170.43343	43.71233	43.125	35999	60.0729	44.63367	195.79892	-537.41547	-64.710785	49.89104	182.08646845817566
10	-61.641327	39.236805	15.486034	-396.68567	-57.892315	23.811804	1.7064977	-108.0276	41.773438	40.6	39999	62.207375	40.393543	196.61868	-577.5815	-66.75708	52.31539	203.08506083488464
11	-61.24592	46.630135	21.802845	-730.03033	-55.242023	21.487669	-5.0150294	-122.94572	41.34456	42.25	43999	61.961975	40.50379	263.7772	-586.28876	-66.67867	57.676563	224.02289938926697
12	-61.0798	28.449797	15.190847	-243.5697	-57.434277	20.942184	-18.497972	-120.06487	42.502647	43.95	47999	65.47694	47.684975	298.34473	-521.6119	-70.39633	68.72058	245.40879034996033
13	-62.44297	35.66674	-1.3561397	-503.6251	-74.5052	41.37486	-19.172623	-209.04774	41.848167	42.475	51999	65.96113	53.61834	311.15744	-575.4139	-70.73247	75.286736	266.65102458000183
14	-65.30551	44.37524	0.33626205	-652.5533	-77.69899	74.04691	-28.73394	-512.02905	43.702187	38.275	55999	65.890396	58.675407	281.67834	-443.1682	-70.69834	81.282455	287.50139355659485
15	-61.963497	26.115334	1.5635848	-167.66777	-86.951035	49.427162	-11.18453	-290.2357	45.96552	49.075	59999	64.568726	59.87978	276.85944	-460.40613	-69.09221	76.98834	309.0962884426117
16	-68.357544	31.474026	0.30030248	-216.384	-66.64811	26.97424	-28.827904	-125.56538	42.21579	41.5	63999	60.29072	56.780563	253.42203	-492.4546	-64.49903	72.00336	330.42487597465515
17	-66.81753	30.420824	-0.9538548	-318.76385	-83.26796	62.21336	-33.42423	-443.48764	41.07455	39.05	67999	54.592724	52.786457	234.98251	-498.26834	-58.51288	72.954315	351.42543053627014
18	-76.43571	45.956913	-12.205195	-770.0946	-84.459435	32.907787	-21.827103	-179.39436	42.594666	43.575	71999	50.554256	49.364834	221.61313	-516.2236	-54.35537	67.096214	372.38527488708496
19	-78.7741	46.798893	8.460118	-647.61426	-72.24007	41.175735	-2.186793	-196.32666	49.43827	44.975	75999	47.39246	46.941387	209.28156	-589.70703	-51.06434	63.2751	393.34987688064575
20	-82.52095	39.08511	-8.102534	-253.35382	-94.18107	39.932137	-17.720669	-188.61653	47.073963	42.375	79999	44.82808	43.935043	186.41014	-725.20984	-48.26886	57.456635	414.21797609329224
21	-86.46679	37.06876	2.1253479	-291.3592	-77.970055	28.66681	-20.435234	-156.81242	42.67287	46.0	83999	40.00822	40.296883	162.06598	-639.8573	-43.098255	51.86683	435.86297631263733
22	-84.97239	66.541985	3.2373984	-765.65424	-73.68649	34.877823	-18.732111	-201.85205	43.072388	42.575	87999	33.510223	36.310726	145.7093	-650.14764	-36.352524	47.841053	457.58409428596497
