Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	19.295166	3.5210507	30.491167	9.558436	13.832752	-0.012723271	0.029006919	0.13035986	-0.08223063	4000	1.13621354e-07	154.2491	-0.010545683	-32.225067	0.918938	0.010613564	0.085	79.0	1.2269573211669922
1	20.340656	4.060403	36.158066	9.615165	14.2769785	1.7337115	0.11143028	1.8999143	1.1243572	8000	1.21071935e-08	137.72305	-0.013381033	-20.47991	0.90737337	0.0082619	0.09475	79.0	2.4406821727752686
2	21.121258	3.939509	35.7433	11.958554	15.357977	2.8908756	0.033376165	2.9256177	2.629106	12000	-2.3283064e-08	123.97327	-0.011836991	-13.282148	0.88006175	0.010545818	0.10775	79.0	3.711416721343994
3	22.287525	4.96074	52.766323	7.1917243	15.792829	3.7224097	0.016310025	3.7389722	3.58475	16000	-2.2351742e-08	135.08934	-0.010310164	-13.019403	0.8651256	0.010997775	0.0875	79.0	4.963865518569946
4	23.619356	4.4926066	43.677063	9.127125	17.12069	4.521523	0.009853812	4.531146	4.428692	20000	5.8906153e-08	131.83951	-0.009574562	-12.0704	0.84740424	0.007113519	0.0785	79.0	6.200057744979858
5	25.933756	5.376979	47.24416	16.4311	18.808613	5.282957	0.007954038	5.2899084	5.1611004	24000	1.8626451e-09	159.69632	-0.012156544	-14.008932	0.82359385	0.009115977	0.0995	79.0	7.44411826133728
6	27.701262	6.6655273	58.836903	15.943124	20.403141	6.089084	0.0051043564	6.0937753	6.017889	28000	-7.450581e-09	184.43817	-0.011627011	-15.4985695	0.80623114	0.009851686	0.095750004	79.0	8.678885459899902
7	30.010448	8.269057	61.43829	15.533432	21.98889	6.923611	0.0043595503	6.9271517	6.837699	32000	1.3783574e-07	213.08603	-0.011573348	-16.568428	0.7861852	0.009444521	0.09775	79.0	9.919765710830688
8	32.53141	9.438885	66.55655	15.905378	25.69281	7.7719264	0.003028816	7.774608	7.718641	36000	-6.3329935e-08	221.65186	-0.00979173	-16.163998	0.77252984	0.0055201473	0.07224999	79.0	11.17312741279602
9	34.29129	10.18922	69.524864	18.053114	28.782608	8.599192	0.002675541	8.601475	8.561497	40000	2.3283064e-08	227.37848	-0.008221032	-13.913681	0.75712335	0.0075634974	0.0555	79.0	12.422317028045654
