Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-34.454094	7.389113	-19.683664	-56.027435	18.21101	0.22608316	0.042094927	0.37339684	0.069280036	4000	-5.3201802e-08	419.01984	-0.027310312	-92.85607	0.91894335	0.01502523	0.1205	21.0	2.159334659576416
1	-34.25667	8.295713	-14.054569	-67.04195	18.443926	-2.573402	0.47146782	2.322906	-2.7445214	8000	-6.053597e-08	325.6882	-0.029092075	-52.90573	0.9156502	0.01624887	0.0915	18.0	4.212026834487915
2	-32.234783	7.7060065	-12.230716	-55.940605	18.76415	-4.5356836	0.1616392	-0.043581348	-4.5631447	12000	-5.401671e-08	241.46094	-0.038017817	-31.80791	0.9109069	0.015072441	0.112	35.0	6.337805271148682
3	-30.45172	7.2785006	-11.295576	-57.18499	19.203884	-5.9402905	0.03983719	-4.3605366	-5.9487076	16000	3.259629e-08	184.13869	-0.028734181	-22.258675	0.9018093	0.015689038	0.1145	23.0	8.418993949890137
4	-29.074362	7.682883	-13.4373665	-61.197567	19.174757	-7.114851	0.16641797	0.99329025	-7.127544	20000	-3.7252903e-09	151.46141	-0.025285909	-16.316563	0.8963425	0.016531171	0.0985	17.0	10.455856323242188
5	-28.469915	7.5906363	-10.290613	-54.669605	19.19903	-8.096418	0.7060935	7.134428	-8.16262	24000	1.7695129e-08	130.71526	-0.021682449	-13.396305	0.89231735	0.015229085	0.057499997	13.0	12.554152965545654
6	-26.469213	6.990653	-10.9291525	-44.778767	19.594059	-9.10107	0.19342448	-0.015418768	-9.113886	28000	-3.9115548e-08	91.75417	-0.032605305	-7.451021	0.8888798	0.01502454	0.096999995	30.0	14.655792713165283
7	-25.18269	7.003678	-8.5115	-50.133915	19.732674	-9.83792	0.3216753	3.874938	-9.860951	32000	-3.7252903e-09	74.59441	-0.055905655	-4.7032785	0.88220215	0.01500259	0.19125	70.0	16.8738751411438
8	-27.873983	49.84504	-6.2393107	-714.6032	20.282051	-10.3569565	1.1001201	9.496271	-10.462929	36000	1.6763806e-08	1805.3326	-0.018455522	-10.5084915	0.8691881	0.015313061	0.11575	15.0	18.885578155517578
9	-23.647837	7.153146	-8.88545	-42.770477	19.858585	-11.128584	1.3157953	10.490416	-11.328834	40000	1.3969839e-08	58.601295	-0.025183853	-9.062221	0.86769706	0.01650881	0.10775	16.0	20.928940296173096
10	-21.973639	6.445604	-8.021873	-44.43712	20.229591	-10.422658	2.1065788	-0.16855471	-11.78582	44000	-1.3969839e-08	38.141422	-0.024727812	-4.814147	0.86477005	0.015642155	0.099750005	16.0	23.03263568878174
11	-21.711208	6.695302	-8.065919	-42.991283	20.31795	-10.201342	2.7748473	4.2777934	-12.212358	48000	-3.7252903e-09	34.35331	-0.019169012	-3.558169	0.860578	0.0155011015	0.05175	11.0	25.070204496383667
12	-21.746334	7.303949	-3.2237635	-45.9037	20.899471	-10.335092	2.8110971	-0.26838088	-12.615325	52000	3.7252903e-09	40.108692	-0.028640723	-4.089061	0.85730356	0.015250986	0.078	19.0	27.139060258865356
13	-18.91507	6.6192474	-3.6699524	-38.1926	21.208555	-10.310123	3.315573	4.6215615	-13.030162	56000	-1.0244548e-08	23.800797	-0.029897507	-3.133202	0.8508465	0.0150144715	0.07675	17.0	29.156338214874268
14	-19.045559	6.9339027	-4.0229154	-40.88511	21.074469	-9.8988495	3.4862247	4.385486	-13.2412195	60000	2.6077032e-08	24.664185	-0.024938375	-2.5167527	0.84496605	0.016607601	0.082499996	15.0	31.14979076385498
15	-18.12689	6.546672	-4.9557786	-39.750313	20.494844	-9.797858	3.5557861	5.0950007	-13.440337	64000	-3.7252903e-09	20.516966	-0.033155154	-2.7307343	0.83931243	0.016968148	0.10875	15.0	33.163597106933594
16	-17.698153	5.864525	-2.017642	-34.902042	20.910053	-9.587973	3.5520139	-1.2977604	-13.591696	68000	0.0	18.8189	-0.02488957	-2.3615541	0.8330199	0.015840191	0.07425	13.0	35.137306690216064
17	-15.473605	5.850956	-2.939285	-35.39914	20.59375	-9.617907	3.5615044	4.314083	-13.716183	72000	0.0	16.204226	-0.040518235	-2.9144044	0.8279074	0.015263238	0.14075	22.0	37.19351625442505
18	-14.54838	5.62958	-0.96823645	-34.93923	20.862434	-8.674164	3.4706333	-0.9950098	-13.726376	76000	7.450581e-09	15.025968	-0.027172528	-3.3471413	0.81973916	0.015015304	0.08425	14.0	39.28473997116089
19	-14.205723	5.7344165	-0.16583642	-39.51502	21.096256	-7.931165	3.4144192	5.049637	-13.697598	80000	1.4901161e-08	18.652056	-0.024212746	-5.0507374	0.8146517	0.015283369	0.083749995	13.0	41.29939389228821
20	-13.101338	5.55445	-1.1551188	-32.40082	20.6875	-8.281301	3.1723404	0.2634165	-13.695312	84000	1.3038516e-08	16.248957	-0.023039099	-4.3298416	0.8101097	0.016692204	0.08975001	12.0	43.331939697265625
21	-11.806165	5.8118243	4.4115157	-31.655956	20.666666	-7.235227	2.9598732	-1.9598596	-13.546512	88000	-2.2351742e-08	15.739813	-0.01738156	-2.7223825	0.8061286	0.01635143	0.095249996	10.0	45.37523055076599
22	-11.635653	5.18366	0.6431476	-32.24488	20.623037	-6.602419	2.5582736	-1.3787959	-12.935442	92000	1.4901161e-08	13.502442	-0.017520681	-2.034385	0.8025943	0.016066711	0.119	10.0	47.36810541152954
23	-11.046669	4.8313546	1.705868	-25.521864	20.59375	-6.792194	2.3849435	-1.6430657	-13.5995245	96000	0.0	11.37116	-0.01680817	-2.0622263	0.79886633	0.016001284	0.0585	8.0	49.363850116729736
24	-10.786624	5.4511395	3.1266892	-27.981766	21.365591	-6.125224	2.325634	-1.2520375	-13.572205	100000	-2.0023435e-08	13.45389	-0.013235653	-1.6693177	0.79590136	0.016585873	0.05475	7.0	51.34989857673645
25	-9.653189	5.2231264	9.560549	-27.878498	21.527174	-6.0608916	2.534253	0.2580786	-13.385083	104000	0.0	15.5210085	-0.014883857	-4.3850093	0.7933149	0.016821753	0.1295	8.0	53.36542892456055
26	-11.06385	22.077084	1.5064274	-290.26187	22.760235	-5.247092	2.3242662	9.758971	-13.485999	108000	1.4901161e-08	434.6698	-0.010330202	-33.55162	0.7904178	0.015019821	0.069	8.0	55.35974168777466
27	-8.952194	5.024221	5.6170073	-23.157366	22.173183	-6.039292	3.0235932	-1.8114454	-14.045914	112000	-1.8626451e-09	15.922798	-0.023024641	-4.533844	0.788396	0.015939375	0.0665	14.0	57.412872552871704
28	-8.559926	5.1293244	2.3548014	-26.644716	21.961111	-4.844529	1.7087278	-0.5205947	-12.813561	116000	2.9802322e-08	13.679342	-0.014436486	-1.5378091	0.78472745	0.015043007	0.071	8.0	59.482840061187744
29	-7.357314	5.0884504	12.476243	-31.396856	22.423729	-4.7201347	1.7532815	0.014308095	-12.279406	120000	0.0	13.596335	-0.019107744	-2.048802	0.78206927	0.017412916	0.0785	11.0	61.49081039428711
30	-7.2402563	6.0079207	8.793754	-26.644533	23.981596	-3.8391974	1.8846622	5.759703	-12.626642	124000	-2.9802322e-08	14.866563	-0.016842287	-2.143462	0.7782233	0.015141546	0.088	8.0	63.548460483551025
31	-6.6921043	5.597483	12.368966	-29.811432	23.562874	-3.5375907	2.474349	4.157101	-13.881262	128000	9.313226e-09	14.215239	-0.014108205	-2.811883	0.7754936	0.016012874	0.104	7.0	65.59024238586426
32	-6.7040663	6.1088724	13.093419	-31.486576	23.963636	-3.3464584	2.0731776	6.368001	-13.692915	132000	3.7252903e-09	20.411331	-0.012886193	-5.3781223	0.77318674	0.017148558	0.094500005	9.0	67.65555143356323
33	-6.033467	5.4521523	5.079721	-22.67426	23.682634	-3.1547287	2.325546	6.798045	-12.956795	136000	1.4901161e-08	13.612255	-0.016862877	-3.4417658	0.77034944	0.0154050905	0.11925	9.0	69.70137286186218
