Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-31.366455	7.3806505	-10.462799	-66.43954	1615.8547	69.63654	1731.6985	1462.003	19.559364	1000.0	3999	0.65006655	3.834284	19.83455	-12.3063345	-3.2261586	1.3711191	25.913726806640625
2	-34.568306	104.187454	117.41809	-2976.9658	1572.328	101.39726	1742.8698	1354.398	19.859627	1000.0	7999	26.262026	17.763554	145.96971	-281.48227	-32.36962	8.069438	54.26544547080994
3	-36.66765	195.07545	47.64424	-4938.1885	1632.1436	98.51217	1823.3386	1513.8325	25.064363	1000.0	11999	79.39882	52.668697	429.13367	-462.4289	-91.006584	32.364708	83.05459833145142
4	-25.997124	22.223488	44.82274	-150.54663	1611.3289	89.59024	1760.4344	1386.9114	35.112087	1000.0	15999	98.24738	74.47664	708.4305	-717.484	-108.11675	67.1395	113.11431741714478
5	-38.178524	28.310305	49.131233	-209.5088	1553.1665	90.32481	1792.102	1377.8728	34.91939	1000.0	19999	91.38276	78.47923	1018.26154	-712.45544	-99.76837	77.04279	143.13362431526184
6	-54.336445	300.22488	22.823841	-5761.0903	1599.0837	73.06269	1757.309	1418.9033	43.415302	1000.0	23999	87.76266	87.260895	1082.4686	-631.1588	-95.403854	90.688484	172.11107397079468
7	-56.050854	194.4858	42.14107	-3760.9268	1583.4929	75.10011	1738.4409	1437.653	42.938667	1000.0	27999	88.12206	90.90666	1047.2255	-616.1562	-95.23097	96.60197	201.61516666412354
8	-36.593723	250.27277	4244.7085	-143.50414	1536.4895	90.015045	1728.5626	1348.9784	53.577183	1000.0	31999	89.6655	86.373665	989.1103	-666.25604	-96.99648	106.01062	232.48195505142212
9	-54.21243	137.00389	2462.794	-175.60564	1534.1904	62.140713	1712.4728	1388.8505	45.04507	1000.0	35999	97.98798	93.05998	1343.8358	-736.3739	-105.542145	124.350494	263.5103096961975
10	-71.75192	87.83641	1437.464	-194.92656	1505.4753	81.69913	1683.9692	1342.0535	47.19412	1000.0	39999	103.78682	107.71838	1651.8105	-643.3763	-111.35456	159.97322	292.6096935272217
11	-117.719406	370.41525	-10.177475	-4201.3623	1496.0105	58.483906	1587.953	1373.1553	45.24079	1000.0	43999	114.65938	129.58817	1798.75	-918.3075	-123.12986	215.96306	322.20603013038635
12	-104.30378	282.33224	19.609411	-3805.6353	1526.9388	64.17911	1715.979	1367.5267	47.82388	1000.0	47999	121.71082	137.52869	2051.0618	-992.1754	-130.43742	250.13547	352.05698323249817
13	-99.35643	224.76189	-22.626059	-4156.5654	1486.3228	76.79866	1625.702	1315.6782	47.473213	1000.0	51999	126.77992	147.13156	2470.1462	-970.25714	-135.89487	305.6025	382.88537430763245
14	-92.96414	60.353565	-17.041647	-878.6564	1531.8057	68.68163	1677.5558	1384.0774	44.454292	1000.0	55999	134.78363	162.33023	2672.1516	-799.7945	-144.18599	370.96594	420.55125737190247
15	-93.61844	276.8161	2109.2483	-4690.68	1516.6433	80.00073	1702.5538	1327.0818	45.08146	1000.0	59999	136.398	175.51535	2812.1255	-765.6326	-145.49034	395.37982	473.6737012863159
16	-99.00379	230.2063	2808.4878	-3175.9702	1477.0392	85.96391	1651.6163	1232.9454	45.87069	1000.0	63999	137.92503	189.66249	3069.6147	-337.39996	-147.01044	456.7169	524.7828948497772
17	-112.85865	244.83635	-12.634717	-3522.0828	1512.4388	101.8687	1728.1575	1304.9427	46.246376	1000.0	67999	139.9512	200.74306	3133.2522	-268.22464	-149.19519	494.2198	579.9010419845581
18	-125.21554	402.49884	1205.8777	-6268.1865	1506.466	75.2263	1635.9663	1363.1594	49.1227	1000.0	71999	141.6797	207.32867	3157.0225	-259.11096	-150.80396	517.6605	631.2399246692657
