Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-31.181746	8.7560215	-13.103544	-70.71507	21.101604	0.20557256	0.014646141	0.2606226	0.15543942	4000	2.3050234e-08	339.39313	-0.06745078	-92.95403	0.91894335	0.011569725	0.37425	79.0	9.98658800125122
1	-28.78184	8.34501	-6.5365286	-62.97031	21.313513	-3.1342359	2.2251601e-05	-3.1329088	-3.134238	8000	2.7939677e-09	213.22362	-0.0834938	-29.223263	0.9106086	0.003579866	0.40525	79.0	20.012489557266235
2	-26.726343	6.842967	-12.231999	-48.994213	21.639345	-4.527798	0.20178777	4.5080767	-4.5323153	12000	-7.450581e-09	140.9654	-0.033918522	-18.722364	0.9029044	0.015332605	0.29725	10.0	27.2118136882782
3	-25.97203	8.523354	-7.0587807	-57.588673	21.32258	-5.6573515	0.39598805	5.537578	-5.6713614	16000	-9.313226e-09	128.27773	-0.013071061	-14.120167	0.9004507	0.018223537	0.28350002	3.0	34.141295194625854
4	-24.78242	6.886616	-7.262915	-41.949764	21.090425	-6.66799	0.54910314	6.4481497	-6.6910057	20000	-3.3527613e-08	93.10455	-0.00920778	-9.854473	0.8994802	0.016801242	0.18475	2.0	41.310402393341064
5	-24.754904	7.8185225	-6.4357805	-65.46493	21.86111	-7.557156	0.33065704	7.2268677	-7.5645514	24000	6.7055225e-08	93.58324	-0.0119057605	-8.561428	0.8987471	0.01724131	0.25875	3.0	48.332834005355835
6	-22.763153	7.1595182	-8.0378685	-51.165073	21.779005	-8.419813	4.000888e-06	-8.419596	-8.419813	28000	-5.9604645e-08	68.1088	-0.013400752	-3.7476206	0.8975172	0.018470172	0.30625	3.0	55.22440695762634
7	-21.820757	6.8289423	-6.777827	-44.171085	21.944752	-9.020172	0.091869086	-3.295208	-9.0218525	32000	-1.3038516e-08	52.280056	-0.012813585	-1.5831861	0.89630765	0.020403896	0.26975	3.0	61.99169373512268
8	-20.394863	7.4417768	-4.225571	-46.436554	21.448648	-9.427533	1.0280237e-06	-9.427513	-9.427532	36000	1.1175871e-08	48.027462	-0.01611024	-0.62535286	0.89504117	0.017020047	0.23324999	4.0	68.9117181301117
9	-20.416197	7.087875	-3.4250038	-49.84729	22.2809	-9.694326	5.4627103e-06	-9.694043	-9.694326	40000	-2.7939677e-09	46.942123	-0.083054096	-0.3228321	0.8932833	0.0054140454	0.3985	79.0	78.98095059394836
10	-18.706472	7.2941537	-2.2472508	-48.787445	21.475676	-9.886621	0.30337694	9.298222	-9.891418	44000	-2.0489097e-08	43.68589	-0.04198166	-0.003206253	0.8825135	0.015407231	0.28775	15.0	86.50380969047546
