Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-35.509228	11.7007475	-7.988497	-83.21216	19.584158	0.06331554	0.096865475	0.3105827	-0.23606825	4000	-1.4901161e-08	448.55157	-0.03756155	-90.25364	0.9189422	0.004674256	0.24499999	79.0	2.0162713527679443
1	-32.268192	9.115478	-13.840616	-66.21136	19.84	-2.588631	0.7946951	1.9270867	-3.2450147	8000	-9.313226e-09	270.43588	-0.037338987	-49.74095	0.90329504	0.00537875	0.2525	79.0	3.9371376037597656
2	-29.71416	8.993536	-7.5966816	-57.211666	19.909548	-4.78591	0.740409	4.009857	-5.040146	12000	-2.4214387e-08	189.95346	-0.038653594	-24.693272	0.88810146	0.01059707	0.23550001	79.0	5.7803778648376465
3	-26.182451	8.10453	-4.8506427	-48.06533	20.035353	-6.1983356	0.46228904	1.0171881	-6.353663	16000	-2.2351742e-08	118.44389	-0.039683096	-12.35446	0.87266487	0.0077665783	0.25825	79.0	7.664386034011841
4	-25.30338	8.519191	-8.148326	-62.470993	20.25	-7.1757674	0.5486443	4.2176385	-7.3317647	20000	-2.8871e-08	105.1937	-0.037692953	-8.535908	0.85902905	0.0076536424	0.23925	79.0	9.589197397232056
5	-23.18164	7.7986326	-3.8877072	-47.295036	20.319588	-7.954749	0.7214869	2.1678326	-8.1641655	24000	-5.2154064e-08	72.51801	-0.039903868	-5.229459	0.84539056	0.009896803	0.261	79.0	11.625440835952759
6	-20.475174	8.427959	0.2734288	-45.892162	20.371134	-8.301476	1.3941777	4.1825294	-8.808882	28000	2.4214387e-08	60.98676	-0.0425092	-4.9945745	0.82813084	0.014764806	0.27475	79.0	13.753853797912598
7	-17.121477	7.3902936	1.4108354	-44.471275	20.614584	-7.823889	2.0946932	3.1132915	-9.250972	32000	-3.7252903e-09	35.964195	-0.045160554	-2.9018064	0.81001127	0.013204275	0.29000002	79.0	15.847915410995483
8	-16.491314	7.1667576	-1.1294906	-40.726425	20.94709	-7.40457	2.347251	3.2300704	-9.437496	36000	-2.0489097e-08	30.037458	-0.044414833	-1.5431066	0.7904136	0.013312316	0.301	79.0	17.9044771194458
9	-13.348459	7.5720496	11.348899	-37.794197	21.148935	-7.1857057	2.4530098	2.0798252	-9.682814	40000	7.450581e-09	31.775492	-0.042613164	-6.251171	0.77002376	0.015194448	0.25375	51.0	20.103865385055542
10	-11.201279	7.136213	11.089457	-30.566702	21.96685	-5.487052	3.355672	4.4290094	-9.652778	44000	1.5832484e-08	24.185024	-0.039378546	-2.1502466	0.75086516	0.015108854	0.23175	38.0	21.992311239242554
11	-8.817929	6.7999063	16.126505	-31.556463	23.017647	-5.161996	2.8420208	2.5887597	-9.627648	48000	-2.2351742e-08	25.116844	-0.044108868	-2.4631352	0.734132	0.015043961	0.2855	67.0	23.933511972427368
12	-6.3298397	7.366402	24.162125	-26.853544	23.064327	-4.1477604	2.6084843	3.5608604	-9.108549	52000	-3.7252903e-09	27.708645	-0.033484846	-4.209317	0.71650034	0.015200027	0.20650001	29.0	25.749117612838745
13	-4.5167394	8.009951	22.962957	-22.830963	23.945454	-2.3780434	2.8220158	5.8078275	-8.453785	56000	1.3038516e-08	31.49941	-0.029829882	-3.7175555	0.7071463	0.015162668	0.16925	23.0	27.519943714141846
14	-3.9167943	7.407999	20.285915	-22.272934	24.085365	-1.5934106	2.736345	7.503074	-7.715431	60000	7.450581e-09	26.163317	-0.016512986	-1.8328686	0.69765115	0.015736315	0.21325001	8.0	29.29028081893921
15	-2.030811	8.828445	28.424719	-29.325531	26.406666	-0.08880907	2.8082836	6.9203167	-7.3890743	64000	0.0	34.175213	-0.026579646	-3.9784431	0.6946912	0.015221363	0.153	19.0	31.179736852645874
16	-0.8110073	8.203096	24.328648	-18.2049	25.380646	0.430257	2.9165826	7.8002834	-7.5970345	68000	0.0	29.472616	-0.01551228	-2.6938658	0.6876321	0.017043794	0.23875	8.0	32.944655656814575
17	1.9461569	12.190311	44.178093	-28.079086	28.395683	1.5390406	3.2550461	8.414881	-8.882795	72000	-3.7252903e-09	58.867428	-0.03032333	-7.582904	0.6845931	0.015286014	0.20799999	23.0	34.74234223365784
18	4.8699594	11.172316	37.808254	-27.122095	29.029411	3.430332	3.5543466	9.081007	-8.468403	76000	-1.4901161e-08	47.58014	-0.042388402	-3.754634	0.67642283	0.014166363	0.27275	79.0	36.76168346405029
19	6.4972944	10.2480545	32.504307	-17.407574	29.651516	4.6123047	3.5213823	9.432046	-9.667416	80000	1.5832484e-08	44.455612	-0.014700017	-4.2205014	0.6598383	0.016612366	0.1835	8.0	38.43304133415222
