Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-23.016396	8.807651	-7.478415	-49.641773	19.497538	0.16827545	0.069371626	0.41918913	-0.101703495	4000	9.2666596e-08	252.81873	-0.03762201	-82.253944	0.9189422	0.013082042	0.23699999	79.0	1.6324787139892578
1	-19.953161	7.5901966	4.6557536	-43.26056	19.487684	-3.2320974	0.60006887	2.0689752	-3.6586206	8000	2.561137e-08	117.75794	-0.042216294	-25.65615	0.9028692	0.014410229	0.2625	79.0	3.2697060108184814
2	-16.071922	8.210768	8.984751	-45.95847	20.239796	-5.0247364	0.41935354	0.7346596	-5.1937613	12000	-5.401671e-08	71.82128	-0.039628312	-9.409403	0.8848627	0.004681798	0.251	79.0	4.859104156494141
3	-14.647613	7.9044743	5.4326553	-57.02547	20.45596	-6.0722337	0.4014827	2.191846	-6.2006006	16000	-1.3038516e-08	45.116203	-0.040647537	-3.8509617	0.8660161	0.014847262	0.25575	79.0	6.498914957046509
4	-11.190362	6.470113	5.409084	-38.656612	20.407217	-6.762042	0.42925137	3.067532	-6.8814836	20000	-1.1175871e-08	26.427605	-0.037357893	-0.8538079	0.8495006	0.011714101	0.2565	79.0	8.12171196937561
5	-9.796525	6.374081	12.379075	-29.62839	20.790575	-6.9814315	0.51061404	2.2525861	-7.1434994	24000	7.450581e-09	24.27679	-0.017955571	-1.3126502	0.8319873	0.015684156	0.17675	11.0	9.489375591278076
6	-9.882264	6.2995553	7.755144	-29.854458	21.67213	-6.4328876	1.6759448	5.6317325	-7.2124867	28000	2.7939677e-09	23.80849	-0.01785221	-1.6059403	0.82883894	0.015515448	0.22325	10.0	10.849894762039185
7	-6.522111	6.58617	14.04199	-28.197628	22.843023	-6.3235536	1.7301627	4.3740516	-7.3849726	32000	-1.8626451e-08	24.215326	-0.016088532	-2.7143836	0.8244108	0.015195814	0.2095	10.0	12.239890813827515
8	-5.447871	7.522148	20.483673	-24.955284	23.666666	-5.0764446	1.8063035	3.5206342	-7.2058973	36000	-3.7252903e-09	28.32693	-0.017964225	-1.8291554	0.81964904	0.015432293	0.20275	12.0	13.651065349578857
9	-1.6870313	9.472466	41.87186	-24.00968	26.192053	-3.485542	2.716939	5.175731	-7.1847587	40000	-1.1175871e-08	48.74288	-0.016863074	-9.928865	0.8146717	0.017488774	0.281	9.0	15.112929821014404
10	0.6182482	10.8962965	47.651756	-19.577486	27.243055	-0.7548727	3.0186133	6.757096	-7.2150064	44000	-1.6763806e-08	62.27647	-0.011643961	-3.4919071	0.811481	0.015659876	0.19725001	9.0	16.5451557636261
11	4.213557	10.5231085	32.376022	-17.56162	30.60465	0.15804689	3.0459952	7.1841135	-7.252995	48000	9.313226e-09	54.603416	-0.03297076	-7.227084	0.8084017	0.015034139	0.2185	59.0	18.125977754592896
12	5.5712876	11.60574	42.17982	-31.388035	32.73554	2.5376747	3.1175888	7.4196525	-7.4407754	52000	1.4901161e-08	48.851894	-0.013651628	-3.3025646	0.7931864	0.015003024	0.24	10.0	19.553788661956787
