Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-24.23503	6.020732	-13.727578	-50.683304	22.420454	-0.0016329101	0.14109954	0.45865333	-0.47258836	4000	3.2037497e-07	204.78812	-0.06838417	-114.53682	0.91894364	0.014710119	0.34149998	79.0	2.753213405609131
1	-24.529655	5.7714567	-14.955016	-44.46744	22.41808	-5.908527	0.81736636	4.8672953	-6.203204	8000	-7.4505806e-08	91.227036	-0.0695771	-26.20951	0.91581076	0.01336947	0.3685	79.0	5.457412242889404
2	-23.303917	5.275841	-15.487378	-42.55974	20.804234	-8.373663	0.8055466	3.3439002	-8.6059	12000	2.7939677e-08	56.948555	-0.023901291	-12.788577	0.91141486	0.015269805	0.20224999	8.0	7.912419319152832
3	-23.436615	4.8626537	-14.941764	-45.03629	20.53886	-9.163067	2.3830476	8.967154	-10.274871	16000	-9.313226e-09	43.869976	-0.035296693	-13.893255	0.91093886	0.015043035	0.25475	14.0	10.332101583480835
4	-22.934761	5.797421	-14.799277	-65.425575	19.613861	-9.372617	3.3052285	8.748779	-11.872641	20000	-1.1175871e-08	39.520565	-0.026496977	-12.186691	0.9086717	0.015272369	0.21875	9.0	12.732449054718018
5	-22.578897	4.862476	-14.070497	-41.50312	19.331707	-10.264026	3.6313193	0.7507506	-13.292835	24000	-2.2351742e-08	21.035168	-0.016020894	-5.0694685	0.9068622	0.015751462	0.198	7.0	15.149904727935791
6	-21.619793	4.733496	-13.400604	-44.303738	18.215597	-10.246146	4.250588	2.58673	-14.403159	28000	-4.0978193e-08	15.863811	-0.06950241	-3.0849106	0.90489686	0.011417368	0.38425	79.0	17.848551273345947
7	-21.037668	4.4380207	-13.273006	-44.143307	18.045454	-10.5213785	4.416608	7.1270695	-15.164589	32000	7.450581e-09	13.0113945	-0.027752295	-2.2068672	0.8958699	0.016233101	0.241	10.0	20.293898582458496
8	-20.426796	4.099657	-13.269171	-37.27332	17.26087	-10.764674	4.4435787	-0.057744175	-15.700663	36000	1.4901161e-08	8.185053	-0.02317565	-1.2216055	0.8943183	0.017356547	0.215	7.0	22.66991138458252
9	-19.730167	3.4327195	-13.554426	-37.269527	16.186993	-10.352124	4.69945	2.6012836	-16.098558	40000	1.7695129e-08	6.544302	-0.024070479	-0.98125017	0.8920459	0.015164013	0.28125	7.0	25.061525583267212
10	-19.168623	3.4520688	-12.336311	-33.53539	15.812749	-10.30346	4.6619925	1.111722	-16.303831	44000	-1.4901161e-08	5.312669	-0.02037092	-0.7956101	0.88909465	0.016510844	0.25625	6.0	27.46637725830078
11	-18.843739	3.4461985	-1.5356939	-33.409866	15.594488	-10.032775	4.5775733	-0.53498125	-16.419016	48000	-7.450581e-09	6.0311174	-0.021323193	-1.0876925	0.88626933	0.015933715	0.28525	7.0	29.936315536499023
12	-18.572845	3.7373748	-12.633364	-51.048058	15.233716	-9.818779	4.6746907	0.54951787	-16.53515	52000	1.1175871e-08	5.9004097	-0.022593336	-1.0873426	0.8829287	0.01747949	0.2225	8.0	32.371476888656616
13	-17.961756	2.6335588	-12.581966	-28.601643	14.854478	-9.785041	4.5716624	-0.60627186	-16.6384	56000	1.4901161e-08	2.9146748	-0.02484382	-0.47236514	0.879512	0.016096905	0.26299998	8.0	34.83235716819763
14	-17.893717	2.9214742	-13.019298	-37.534195	14.591911	-9.46191	4.561276	3.941096	-16.584698	60000	1.8626451e-09	3.4218078	-0.024941107	-0.46989334	0.87603945	0.016901735	0.2305	8.0	37.314146757125854
15	-17.799028	2.9470735	-12.981928	-29.371748	14.593407	-9.4846	4.445672	0.51623917	-16.642391	64000	1.9557774e-08	3.5479798	-0.025171313	-0.5765921	0.8721272	0.015128968	0.20300001	8.0	39.75266194343567
16	-17.085365	2.619497	-12.093635	-31.645144	14.567765	-9.391177	4.448163	-0.78896546	-16.512262	68000	-1.4901161e-08	2.662259	-0.039849333	-0.5911081	0.86825764	0.015697295	0.258	18.0	42.213327407836914
17	-17.047674	2.6225657	-12.449744	-36.864887	14.459854	-9.112168	4.358847	6.6891875	-16.750463	72000	4.656613e-09	2.6989489	-0.03013733	-0.5581949	0.8600961	0.015685216	0.20975	12.0	44.68331742286682
