Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-22.469337	6.062038	-13.606828	-50.401337	18.376743	-0.015486452	0.112488136	0.34048432	-0.42813933	4000	3.3993274e-08	199.39319	-0.027007218	-106.51203	0.91894364	0.016824126	0.247	7.0	2.406177282333374
1	-21.391678	6.083992	-11.539211	-45.67426	18.068493	-5.547215	0.5654137	2.0095286	-5.7453146	8000	-3.5390258e-08	82.177605	-0.065523624	-24.078442	0.9182716	0.0074162837	0.336	79.0	5.321378469467163
2	-20.815088	5.038834	-12.108169	-40.272793	17.535398	-7.8855023	0.73582196	2.4855251	-8.090203	12000	-3.7252903e-09	48.93212	-0.0689927	-9.831566	0.912141	0.008490563	0.34974998	79.0	8.24998950958252
3	-19.97721	4.6805477	-11.535426	-37.138943	16.417355	-9.133691	1.471294	7.619533	-9.627652	16000	3.1664968e-08	34.461975	-0.027982827	-8.756888	0.90739924	0.015765214	0.28825003	9.0	10.772159337997437
4	-19.55761	4.685216	-10.299426	-38.895725	16.366255	-8.936084	2.7621303	7.732007	-10.839318	20000	1.8626451e-08	23.936289	-0.07085784	-6.555085	0.9066309	0.007995479	0.37150002	79.0	13.526241064071655
5	-19.800303	5.5948443	-11.216498	-47.065838	16.566668	-9.1896305	3.2599213	7.7410936	-12.034293	24000	-1.3969839e-09	23.826103	-0.031586356	-5.1214504	0.89936906	0.015475711	0.28599998	10.0	15.968809366226196
6	-18.300852	4.439219	-9.344587	-36.30142	15.110266	-9.705018	3.611541	2.6976564	-13.12157	28000	7.450581e-09	11.850952	-0.030460361	-1.9183517	0.8976252	0.015980745	0.35799998	10.0	18.399044275283813
7	-17.573524	4.0256147	-9.997656	-33.302074	14.674074	-9.456962	3.921314	0.6368542	-13.735073	32000	-3.7252903e-09	8.923743	-0.019936403	-1.0000995	0.89401066	0.015962835	0.236	6.0	20.885104656219482
8	-16.798067	3.6561399	-10.527608	-34.699196	13.628866	-9.343572	4.009049	2.30292	-14.109593	36000	-1.6763806e-08	6.4523916	-0.02231682	-0.93727744	0.89132595	0.015782224	0.22225	6.0	23.277092695236206
9	-16.707321	3.2675633	-10.563841	-29.342348	13.441077	-9.129406	3.972762	0.22174048	-14.346515	40000	-3.3527613e-08	4.7593026	-0.01919254	-0.6626396	0.8883375	0.015323995	0.2305	5.0	25.64939045906067
10	-16.227869	3.672498	-9.788127	-42.262127	12.649681	-9.271528	4.0259867	0.41829214	-14.509226	44000	-2.6077032e-08	6.2517686	-0.020139534	-0.9682242	0.885834	0.015409507	0.2295	5.0	28.01721429824829
11	-15.491227	2.4661925	-9.854807	-25.091427	12.003012	-8.888083	4.025809	1.5374532	-14.642814	48000	-3.5390258e-08	2.9062018	-0.018947905	-0.5690545	0.88316643	0.015518777	0.2315	5.0	30.449737071990967
12	-15.196294	2.5355031	-9.475944	-25.082167	11.792285	-8.639836	3.8892531	1.4632947	-14.609618	52000	1.6763806e-08	2.8575363	-0.020659491	-0.43909454	0.88031095	0.017946225	0.28	6.0	32.904208183288574
13	-15.253922	2.887899	-10.69403	-29.420988	11.824925	-8.533391	3.8479753	1.7830212	-14.609042	56000	2.7008355e-08	3.4014459	-0.020317432	-0.51094496	0.8767752	0.0174416	0.20825	6.0	35.30197286605835
14	-14.778651	2.625774	-9.417301	-26.882921	11.760355	-8.492454	3.827937	-0.052253485	-14.702838	60000	-3.7252903e-09	2.7432935	-0.019126227	-0.40109766	0.8734636	0.016155966	0.25225	6.0	37.759005069732666
15	-14.678598	2.3931074	-9.836629	-24.568403	11.456897	-8.28816	3.7779353	0.0035299063	-14.635453	64000	1.3038516e-08	2.2610445	-0.01943249	-0.37357205	0.8703469	0.016372832	0.19600001	5.0	40.17766094207764
16	-14.516718	3.5742686	-10.538569	-53.218548	11.53913	-8.1433115	3.6522782	2.591916	-14.748187	68000	-1.4901161e-08	6.139716	-0.014151746	-1.6947889	0.8677705	0.01688062	0.25925	6.0	42.62296462059021
17	-14.347299	2.734804	-9.44382	-32.88413	11.668622	-8.102663	3.6780918	0.48133382	-14.728884	72000	-1.1175871e-08	2.640077	-0.032202963	-0.42258948	0.86494863	0.015681308	0.26075	13.0	45.120731592178345
18	-13.950862	2.352665	-10.202077	-27.960766	11.481268	-7.946001	3.5622559	0.044221997	-14.894035	76000	2.4214387e-08	2.1037536	-0.03131096	-0.38440314	0.8591633	0.015188783	0.2225	12.0	47.643715143203735
19	-13.980202	2.356579	-9.780224	-25.288425	11.50578	-7.7728357	3.563107	-0.68542576	-14.928407	80000	-1.5832484e-08	1.9738117	-0.02965891	-0.32943544	0.8542367	0.01568801	0.26625	11.0	50.09224605560303
20	-13.71737	2.3498323	-9.944931	-35.903374	11.372493	-7.6347547	3.518614	-0.048768222	-15.014537	84000	2.9802322e-08	2.0790396	-0.027756825	-0.3325656	0.84940714	0.015168799	0.19	12.0	52.52928972244263
21	-13.678954	2.6301668	-9.54123	-37.108562	11.415473	-7.629881	3.4736395	-0.021828532	-15.066103	88000	-3.7252903e-09	2.4408965	-0.022795554	-0.3778522	0.84401983	0.015759371	0.2105	8.0	54.94724750518799
22	-13.445229	2.0113735	-9.520219	-22.545828	11.348572	-7.4951863	3.4647813	-1.0303745	-14.995219	92000	1.5832484e-08	1.560072	-0.041987993	-0.2660533	0.8405777	0.015371536	0.26099998	18.0	57.40786361694336
23	-13.370653	2.2330852	-9.668976	-24.579824	11.473989	-7.440669	3.350972	2.500671	-14.839952	96000	8.381903e-09	1.7741158	-0.029477853	-0.3022854	0.8326479	0.01503525	0.19325	11.0	59.84291696548462
24	-13.144123	2.058173	-9.5084	-26.703255	11.378223	-7.356067	3.3932114	-1.2783263	-14.987099	100000	-1.1175871e-08	1.3853191	-0.029801302	-0.23108548	0.8279405	0.015243765	0.2155	12.0	62.28285503387451
25	-13.104238	2.1676323	-9.595804	-21.532421	11.475363	-7.2760367	3.3586085	-0.8960136	-15.020135	104000	7.450581e-09	1.6344103	-0.024564892	-0.23739871	0.82285154	0.015261788	0.215	9.0	64.74763083457947
26	-13.159605	2.6769917	-9.457863	-34.598145	11.424068	-7.2693458	3.3680413	-1.4052277	-15.09251	108000	-1.0244548e-08	2.2694983	-0.026824597	-0.46599522	0.8189507	0.015264583	0.268	10.0	67.19073581695557
27	-12.931	2.6799037	-8.385067	-43.100716	11.416667	-7.1861115	3.3101268	-0.5937327	-15.132104	112000	-7.450581e-09	2.5163896	-0.017602451	-0.5032902	0.81497014	0.017491214	0.21225	7.0	69.61281204223633
28	-12.703962	2.214779	-8.5265	-32.30603	11.376068	-7.038851	3.2500355	-1.3371614	-15.136488	116000	-1.5133992e-09	1.6522822	-0.01844948	-0.36941874	0.8125095	0.01577231	0.23025	8.0	72.08651828765869
29	-12.816778	2.1371481	-9.201186	-22.41305	11.639297	-7.061297	3.2451155	-0.794332	-15.370658	120000	-1.44355e-08	1.4883384	-0.03159664	-0.288688	0.8095064	0.015374402	0.23925	13.0	74.60054731369019
30	-12.515843	2.0729573	-8.063721	-24.775463	11.518841	-6.916721	3.1653779	0.20531127	-15.164429	124000	1.46683306e-08	1.4581248	-0.030857857	-0.24576631	0.8046268	0.015369673	0.2095	13.0	77.0731110572815
31	-12.713841	2.2043579	-8.226447	-24.915173	11.775148	-6.967836	3.2250898	-1.0516455	-15.354391	128000	1.6763806e-08	1.5024865	-0.04589559	-0.28103942	0.79998684	0.015032275	0.264	29.0	79.572340965271
32	-12.385344	2.436874	-8.507508	-31.8497	11.830358	-6.8541336	3.197756	-1.2877818	-15.370138	132000	-1.3038516e-08	1.7519802	-0.034072835	-0.40722868	0.7924493	0.0155050345	0.21675	16.0	82.01973509788513
33	-12.284966	1.9914368	-8.599219	-23.206814	11.552325	-6.7393436	3.0969784	-1.1357207	-15.238034	136000	3.7252903e-08	1.3846359	-0.02186595	-0.29596356	0.78776056	0.0152437175	0.21450001	9.0	84.44425916671753
34	-12.191621	2.033282	-8.356518	-27.670584	11.612245	-6.703702	3.124614	-0.64061797	-15.169974	140000	0.0	1.1888316	-0.028336663	-0.24247131	0.78468496	0.015485821	0.217	14.0	86.93241214752197
35	-12.351608	2.1474507	-8.805745	-22.035513	11.662757	-6.7321005	3.089961	-0.86132884	-15.295981	144000	1.1175871e-08	1.4560784	-0.018507209	-0.31672063	0.7798645	0.018686753	0.19049999	6.0	89.34482550621033
36	-12.159674	2.352804	-8.274733	-26.722868	11.792899	-6.8249416	3.1625917	-0.70683444	-15.574274	148000	2.7939677e-09	1.7060633	-0.01939096	-0.3805028	0.7778573	0.016798632	0.26700002	7.0	91.73533797264099
37	-12.177703	2.211535	-7.728792	-23.081495	11.818991	-6.601998	3.0661874	-1.3884455	-15.229222	152000	-2.9802322e-08	1.4970095	-0.018462371	-0.31654948	0.7752167	0.015545677	0.17674999	7.0	94.2279531955719
38	-11.823134	2.0304937	-8.323254	-24.799374	11.725664	-6.6879144	3.0860453	-0.8924655	-15.254805	156000	1.1175871e-08	1.4112742	-0.031575568	-0.30651498	0.77256346	0.015432664	0.22	16.0	96.69818902015686
39	-11.978151	2.7033355	-7.4057155	-39.517956	11.898204	-6.5742197	3.0333858	-1.1136944	-15.347427	160000	-8.381903e-09	2.0245671	-0.021469636	-0.41762343	0.7666499	0.017062662	0.22275001	8.0	99.10965728759766
40	-11.701613	2.0648384	-8.294191	-28.005543	11.886567	-6.4908695	2.9775648	-1.4500389	-15.355019	164000	-2.2351742e-08	1.4068719	-0.019638587	-0.35429108	0.76407385	0.01731135	0.19925	7.0	101.52475833892822
41	-11.849893	2.1737022	-8.239355	-22.586153	11.949101	-6.391722	2.988752	-1.3551943	-15.430519	168000	1.1175871e-08	1.4100126	-0.016587768	-0.3011699	0.76179004	0.016327035	0.20625	7.0	103.93631649017334
42	-11.786932	3.6696727	-5.714582	-67.989174	12.003012	-6.443009	2.9976385	-1.4845004	-15.78531	172000	7.450581e-09	7.559673	-0.020872656	-2.3412657	0.75923496	0.016034579	0.239	10.0	106.39769387245178
43	-11.64573	2.0048397	-7.8518066	-22.743137	12.106383	-6.4222918	2.9666348	-1.1503159	-16.094463	176000	-1.8626451e-08	1.5159798	-0.028565634	-0.43591452	0.75642425	0.01621885	0.2375	12.0	108.8172619342804
