Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-175346.94	18749.582	-144472.84	-195133.56	1000.0	-0.073960006	0.057671856	0.26092622	-0.41825265	4000	-1.6391277e-07	268946700.0	-0.023836417	-172840.0	0.9189396	0.0150722135	0.1685	31.0	2.132951021194458
1	-194465.66	14169.003	-174508.5	-213118.78	1000.0	-5.5788927	0.23549794	4.290775	-5.639033	8000	-6.7055225e-08	336699520.0	-0.027314652	-113776.0	0.91572094	0.015046806	0.15475	57.0	4.338869094848633
2	-161815.97	7806.207	-148571.42	-168669.7	1000.0	-8.859006	0.020674322	-8.300704	-8.875766	12000	1.1175871e-07	233730460.0	-0.03171449	-75628.0	0.9149077	0.0122773405	0.21575001	79.0	6.617062330245972
3	-175998.69	17746.35	-146790.03	-194594.5	1000.0	-11.480718	0.030409766	-9.800225	-11.490258	16000	1.6391277e-07	285163600.0	-0.025996184	-87492.0	0.9058754	0.015063952	0.19775	35.0	8.892208814620972
4	-160039.08	20010.38	-133328.61	-189391.42	1000.0	-14.247003	0.024814595	-13.275127	-14.253297	20000	-5.9138983e-08	228326940.0	-0.027562471	-71064.0	0.8970504	0.0150346765	0.19075	52.0	11.164189338684082
5	-143727.75	8865.918	-128613.46	-150534.5	1000.0	-16.769506	0.009707309	-16.187813	-16.773281	24000	1.1175871e-08	180144100.0	-0.015078178	-57968.0	0.8900428	0.015367541	0.161	10.0	13.18118929862976
6	-130935.72	6008.3354	-123500.3	-139496.08	1000.0	-19.072903	0.002416059	-19.025225	-19.075516	28000	-1.2107193e-07	144336380.0	-0.014465537	-49760.0	0.8883147	0.015731376	0.17675	11.0	15.249279737472534
7	-124399.78	9505.894	-115072.37	-140199.05	1000.0	-21.237366	0.008723566	-20.744137	-21.239508	32000	1.5646219e-07	133857280.0	-0.013228594	-46886.0	0.8849093	0.01586665	0.1805	9.0	17.226606369018555
8	-125813.484	7622.883	-118013.32	-138198.16	1000.0	-23.367062	0.0017589622	-23.32441	-23.368973	36000	7.450581e-09	136954270.0	-0.022950584	-48942.0	0.8813878	0.015228741	0.198	35.0	19.360981225967407
9	-124537.016	3658.3262	-120210.21	-129417.55	1000.0	-25.567019	0.002061474	-25.487644	-25.568653	40000	-1.9557774e-08	137770320.0	-0.023008449	-50514.0	0.8719975	0.015689291	0.17325	24.0	21.423906564712524
10	-124924.19	7356.317	-119605.07	-137613.16	1000.0	-27.827766	0.0019107873	-27.74494	-27.828985	44000	-1.4901161e-08	133272600.0	-0.017499046	-49290.0	0.868275	0.015220795	0.14750001	19.0	23.542803049087524
11	-116467.23	4434.1597	-110513.01	-121051.02	1000.0	-30.086657	0.00191913	-29.988043	-30.08764	48000	-1.3038516e-07	114200530.0	-0.026255809	-44410.0	0.86428416	0.015081622	0.202	52.0	25.892502546310425
12	-119629.695	1053.8461	-117937.01	-120811.16	1000.0	-32.25815	0.0007875854	-32.241215	-32.259026	52000	1.3038516e-08	123538320.0	-0.026711684	-47154.0	0.8507017	0.013116931	0.22025001	79.0	28.409414052963257
13	-107629.734	5039.513	-101284.99	-114770.19	1000.0	-34.50577	0.006036749	-34.20616	-34.50671	56000	5.2154064e-08	99186140.0	-0.024098929	-40406.0	0.84002036	0.014657367	0.1785	79.0	30.835320472717285
14	-110294.2	1371.1046	-108421.44	-111663.15	1000.0	-36.62187	0.0008055358	-36.608547	-36.622562	60000	1.15484e-07	101939350.0	-0.02274764	-42286.0	0.8234177	0.015007099	0.1805	40.0	32.992366552352905
15	-107032.0	2962.704	-104101.48	-111145.71	1000.0	-38.794827	0.0011206304	-38.741833	-38.795383	64000	2.3469329e-07	94636350.0	-0.030140892	-39886.0	0.810347	0.013531614	0.22749999	79.0	35.24559736251831
16	-100981.67	1502.8258	-98465.61	-102447.97	1000.0	-40.933105	0.0005823806	-40.924942	-40.933594	68000	-1.7695129e-08	87626330.0	-0.025277473	-37868.0	0.795555	0.015029524	0.19025	52.0	37.3854923248291
17	-109091.47	7624.0747	-103596.59	-122241.984	1000.0	-43.0364	0.020470064	-41.75561	-43.037346	72000	-2.3283064e-07	94179310.0	-0.012841914	-40546.0	0.77946424	0.015060948	0.1485	8.0	39.483360052108765
18	-98981.14	1533.2875	-97035.56	-101032.72	1000.0	-45.225266	0.0005049383	-45.211945	-45.225628	76000	1.2852252e-07	82226660.0	-0.028192181	-36982.0	0.77872825	0.015037318	0.19125	66.0	41.84189319610596
19	-99941.41	5033.0654	-94859.08	-106443.336	1000.0	-47.34439	0.0005509703	-47.334927	-47.34481	80000	3.6507845e-07	82600510.0	-0.010379784	-37004.0	0.76279247	0.016624752	0.213	6.0	43.884801387786865
20	-96330.94	5185.641	-90787.31	-102920.12	1000.0	-49.477524	0.0004677356	-49.466866	-49.477875	84000	-1.0430813e-07	78207930.0	-0.017704159	-35932.0	0.761795	0.015400274	0.17575	24.0	45.93574666976929
21	-95045.72	3303.3682	-90268.58	-99571.336	1000.0	-51.60022	0.0012182588	-51.52901	-51.600533	88000	2.9802322e-08	76294590.0	-0.0286248	-35478.0	0.7555321	0.014235637	0.19425	79.0	48.26197552680969
22	-87926.08	3294.9534	-84123.31	-92362.94	1000.0	-53.726837	0.00029752054	-53.72027	-53.727074	92000	2.5518239e-07	64847270.0	-0.019635713	-31468.0	0.74088013	0.015127409	0.15574999	31.0	50.3415584564209
23	-90349.875	5309.04	-85848.8	-98908.24	1000.0	-55.75479	0.0002481114	-55.74961	-55.755024	96000	1.4156103e-07	68463300.0	-0.0087391175	-33088.0	0.7333682	0.015217238	0.21149999	6.0	52.32232904434204
24	-90613.016	1991.4438	-89048.76	-93988.7	1000.0	-57.843185	0.0002596655	-57.836136	-57.843384	100000	-1.3783574e-07	66326292.0	-0.02023405	-33040.0	0.7316219	0.01524929	0.15525001	24.0	54.37455487251282
25	-80617.836	2180.4595	-78445.64	-83924.734	1000.0	-59.951923	0.00025500162	-59.945263	-59.95209	104000	2.5704503e-07	54210544.0	-0.009693161	-27875.0	0.72541934	0.015867198	0.18025	6.0	56.43777823448181
26	-82644.25	3889.2625	-76365.805	-86364.555	1000.0	-61.91729	0.00024092368	-61.9089	-61.917484	108000	1.2665987e-07	53172564.0	-0.030119142	-27306.0	0.72388494	0.013173104	0.21475	79.0	59.07347226142883
27	-82395.09	4904.976	-75294.2	-88445.23	1000.0	-63.87347	0.00042531436	-63.858326	-63.87366	112000	-8.195639e-08	54695104.0	-0.0082301125	-28598.0	0.71029955	0.018508285	0.1855	5.0	61.07288479804993
28	-76972.78	2668.4692	-73620.875	-81059.01	1000.0	-65.891655	0.00020867544	-65.88411	-65.891815	116000	-1.5646219e-07	49429680.0	-0.015606382	-26731.0	0.709562	0.015263017	0.1385	20.0	63.15887427330017
29	-76735.234	2859.448	-74543.01	-81557.34	1000.0	-67.86835	0.00024344963	-67.859665	-67.86848	120000	-1.4156103e-07	47813510.0	-0.014118688	-26191.0	0.7040895	0.015010836	0.11575	13.0	65.2423689365387
30	-76544.016	4965.2773	-71283.61	-84688.73	1000.0	-69.8413	0.00024161818	-69.83605	-69.84149	124000	1.7136335e-07	46931496.0	-0.01718055	-25943.0	0.70009136	0.015353311	0.16375	19.0	67.43357133865356
31	-76822.17	7028.7163	-68842.54	-88091.99	1000.0	-71.82339	0.00015206984	-71.81778	-71.82353	128000	2.1606684e-07	45094000.0	-0.01627048	-25682.0	0.6959318	0.015162845	0.123749994	17.0	69.58159589767456
32	-70126.62	1115.281	-68605.32	-71697.54	1000.0	-73.81447	0.00023937765	-73.80599	-73.81463	132000	-5.2154064e-08	40984612.0	-0.020865863	-23885.0	0.6924712	0.015279135	0.1555	35.0	71.73880338668823
33	-70501.36	3386.2976	-67362.39	-76078.266	1000.0	-75.75729	0.0001931003	-75.75062	-75.75743	136000	8.195639e-08	39576910.0	-0.009282897	-23506.0	0.6822303	0.015088173	0.18924999	7.0	73.81746935844421
34	-71207.7	8118.5435	-63794.52	-84841.07	1000.0	-77.70013	0.00022863245	-77.69579	-77.700264	140000	5.2154064e-08	39113756.0	-0.022260664	-23171.5	0.6803564	0.013325238	0.1655	79.0	76.13652539253235
35	-69615.234	2810.4243	-66674.91	-74252.8	1000.0	-79.64851	0.00019097366	-79.64093	-79.64862	144000	7.7299774e-08	38408510.0	-0.028511388	-23580.0	0.66411746	0.011582518	0.21200001	79.0	78.46043586730957
36	-68147.58	3334.5537	-65104.24	-73583.25	1000.0	-81.63085	0.0001833508	-81.62448	-81.63094	148000	1.4156103e-07	36061700.0	-0.02351242	-22471.0	0.6449691	0.014539759	0.17375	79.0	80.77122640609741
37	-64915.926	2107.9849	-61768.64	-67503.54	1000.0	-83.58831	0.00028947866	-83.58054	-83.588455	152000	-2.5331974e-07	34295132.0	-0.020379918	-21981.5	0.6320306	0.01529718	0.17074999	24.0	82.86513876914978
38	-68081.3	4098.342	-63364.53	-74447.984	1000.0	-85.54115	0.0005938737	-85.509766	-85.54129	156000	-1.4528632e-07	33967936.0	-0.018998709	-21289.5	0.6262854	0.015698597	0.1155	13.0	84.93092060089111
39	-63128.68	1332.1962	-61329.848	-64696.805	1000.0	-87.48244	0.00019635767	-87.478424	-87.48252	160000	1.527369e-07	32596064.0	-0.02248821	-21611.5	0.6243269	0.0150389355	0.185	42.0	87.1290967464447
40	-62249.32	1693.8293	-59834.793	-64404.598	1000.0	-89.453865	0.0001236158	-89.44997	-89.45395	164000	1.7136335e-07	30345236.0	-0.01700246	-20671.0	0.609363	0.015447163	0.15725	17.0	89.24840068817139
41	-61997.188	4018.154	-58231.34	-68563.195	1000.0	-91.40407	0.00029182027	-91.39304	-91.40418	168000	-3.4458935e-08	28939864.0	-0.018148415	-19862.5	0.6036126	0.015250069	0.15975	42.0	91.50118160247803
42	-60358.523	3734.449	-57549.285	-66684.69	1000.0	-93.33386	0.00013386153	-93.32898	-93.333954	172000	4.0978193e-08	30611834.0	-0.008261111	-20930.5	0.59255767	0.01580254	0.22	4.0	93.51597619056702
43	-56578.566	1658.7856	-55243.17	-59357.047	1000.0	-95.32778	0.00012343079	-95.324165	-95.32784	176000	-1.4901161e-08	26037454.0	-0.013457537	-18906.5	0.5916295	0.015154285	0.141	20.0	95.7773506641388
44	-60332.445	4905.1846	-56136.902	-68241.83	1000.0	-97.24967	0.008929422	-96.68715	-97.24991	180000	-7.4505806e-08	28065344.0	-0.01789117	-20065.0	0.58608127	0.015101498	0.14874999	16.0	97.82177257537842
45	-60404.65	1299.1179	-58253.934	-61522.312	1000.0	-99.238266	0.00013293253	-99.23363	-99.23833	184000	2.225861e-07	26720028.0	-0.016253851	-19940.5	0.5820323	0.015551357	0.17525001	14.0	99.85333442687988
46	-56209.246	961.8481	-55230.832	-57172.707	1000.0	-101.242424	0.00015854136	-101.23559	-101.242485	188000	1.8626451e-07	25630018.0	-0.022781216	-19470.5	0.5769233	0.015223021	0.18200001	48.0	102.03543901443481
