Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-41.6437	14.84655	-16.700815	-82.01689	28.05	-0.10567065	0.19415689	0.42198387	-0.5540906	4000	-6.426126e-08	639.6134	-0.025598334	-107.33944	0.9189396	0.008915873	0.164	79.0	1.568333625793457
1	-38.671497	14.39319	-9.60256	-84.41088	28.201439	-2.8515723	0.3361037	-0.4754901	-3.2257113	8000	-3.7252903e-08	465.77454	-0.019738268	-70.20742	0.9029121	0.015009286	0.19100001	20.0	2.9060747623443604
2	-33.373814	11.7246	-6.1739635	-70.56595	25.089172	-4.988745	0.17346627	2.3167138	-5.0646696	12000	-1.1175871e-08	246.38054	-0.027868176	-28.083416	0.89687026	0.009539602	0.18975	79.0	4.501829624176025
3	-30.17451	10.563968	-13.6381645	-66.41176	24.234568	-6.268457	0.11015497	-2.4823987	-6.308543	16000	0.0	183.19211	-0.026128465	-18.010574	0.87560654	0.011510009	0.18325	79.0	6.113385200500488
4	-26.455153	8.876564	-9.698829	-71.980774	21.378378	-7.311516	0.064598404	-4.9836893	-7.339192	20000	5.5879354e-08	112.24824	-0.025750944	-9.325001	0.86360157	0.012261014	0.18825	79.0	7.71535325050354
5	-23.959404	7.0678835	-6.851313	-59.330566	19.819096	-8.078473	0.46129468	5.527485	-8.121169	24000	9.313226e-09	72.1699	-0.023367636	-4.1031036	0.84641016	0.009173511	0.161	79.0	9.758642673492432
6	-22.35226	6.5996127	-5.1911798	-48.296978	19.579208	-8.645386	0.03756283	-7.542608	-8.666392	28000	1.6763806e-08	55.042995	-0.025065703	-1.8868084	0.8282088	0.011762556	0.1805	79.0	11.279218435287476
7	-20.465324	5.8653703	-1.4340147	-42.210773	18.649288	-9.032639	0.03545657	-7.997108	-9.052399	32000	3.7252903e-09	43.138126	-0.026156649	-0.51859283	0.80745906	0.010199224	0.17225	79.0	12.79374885559082
8	-19.08775	5.2163515	-2.151305	-38.926376	17.008547	-9.216823	0.15898503	-2.7866101	-9.253143	36000	-1.1175871e-08	36.515854	-0.022074627	-3.292131	0.7891362	0.0067325085	0.14025	79.0	14.262620687484741
9	-18.128275	5.1332054	-1.1123217	-37.17859	16.764706	-8.523231	1.6155272	4.1255894	-9.345678	40000	-5.5879354e-09	28.614925	-0.028588988	-6.6791	0.77332455	0.010410573	0.17975	79.0	15.84836745262146
10	-17.290438	4.45436	-1.1118202	-31.50075	16.304527	-7.270905	2.6486967	2.5613527	-9.592481	44000	3.1664968e-08	18.357937	-0.032703996	-1.4153061	0.75040126	0.010753991	0.19225	79.0	17.34700846672058
11	-15.969325	3.9317207	-0.20599055	-32.639057	15.606299	-7.044964	2.7848475	4.330491	-9.8790245	48000	-1.1175871e-08	12.813394	-0.010478557	-0.961787	0.72369856	0.015113485	0.14199999	8.0	18.575500011444092
