Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-35.608273	12.488835	-14.941556	-87.30634	23.879519	0.033952974	0.1564172	0.62352777	-0.41920966	4000	1.7695129e-08	523.3738	-0.05632823	-125.60957	0.91894335	0.011738734	0.30549997	79.0	2.298407554626465
1	-30.893679	9.828698	-11.051284	-71.3444	24.308641	-3.5025575	0.29294786	0.7422098	-3.6438415	8000	5.9604645e-08	261.65982	-0.05560603	-33.606777	0.90960205	0.013351807	0.32525	79.0	4.52666449546814
2	-28.555164	9.616176	-11.578353	-69.57174	23.417646	-4.926164	0.21155874	-0.58919424	-4.984949	12000	-1.0244548e-08	200.87411	-0.057414483	-22.653778	0.89977777	0.0073457486	0.329	79.0	6.727538108825684
3	-30.702723	11.258268	-2.2684073	-67.32635	24.75	-6.0766835	0.36477035	5.3252635	-6.1316347	16000	-1.9557774e-08	231.31616	-0.051416986	-24.727459	0.8886346	0.01501837	0.30825	41.0	8.835876703262329
4	-26.845818	15.618441	-8.145565	-185.74698	24.006134	-7.3142023	0.2116755	-0.9501854	-7.3481674	20000	1.1175871e-08	298.64923	-0.047833115	-14.117899	0.88051873	0.008625663	0.34399998	79.0	11.040966272354126
5	-23.130463	7.9021864	-8.214245	-52.034863	23.650602	-8.291123	0.11387004	-4.5048265	-8.3127165	24000	2.4214387e-08	75.32814	-0.05879107	-3.8624716	0.8693227	0.011296213	0.34974998	79.0	13.314240455627441
6	-22.538496	9.436795	2.3353164	-57.06058	25.076433	-8.782594	0.31482148	-1.9087069	-8.843777	28000	6.3329935e-08	89.137634	-0.02832187	-4.2470646	0.85997486	0.015658513	0.19674999	11.0	15.31403660774231
7	-22.091684	9.042564	-6.287503	-58.08076	23.939024	-9.109067	1.2540417	7.0659933	-9.386966	32000	1.8626451e-08	68.13114	-0.039843194	-3.7547836	0.8578259	0.015078104	0.301	24.0	17.362486124038696
8	-18.885916	7.540602	-0.8713374	-44.397064	24.25926	-9.521315	1.0387026	7.6898293	-9.827347	36000	4.656613e-09	45.893833	-0.057678152	-6.319446	0.8504009	0.010941334	0.3335	79.0	19.60871720314026
9	-17.233809	7.014621	-0.9203413	-38.88791	23.505953	-8.477199	2.2617884	8.926356	-10.081101	40000	-1.6763806e-08	31.006878	-0.029838488	-3.2035255	0.83660704	0.015279541	0.21725	12.0	21.587141752243042
10	-16.264585	7.68247	8.786383	-41.76962	23.110466	-8.376312	2.3852062	6.5737505	-10.347255	44000	2.2351742e-08	43.729076	-0.03509009	-5.1287804	0.83307576	0.015002754	0.273	18.0	23.54633378982544
11	-15.368245	7.867901	9.86625	-52.37988	23.52381	-7.896236	2.7886553	6.2938995	-10.555792	48000	-2.3283064e-08	32.77571	-0.030043758	-3.5281396	0.82659185	0.016209671	0.2365	10.0	25.53676199913025
12	-13.808873	6.980127	11.763522	-36.813255	23.638554	-7.290866	3.0065062	5.8654833	-10.692152	52000	-1.3038516e-08	26.340246	-0.019742971	-3.0899596	0.8225749	0.015154077	0.1945	7.0	27.47349524497986
13	-14.136818	7.5859165	5.0228047	-39.684383	23.446428	-6.8334937	3.1009352	6.634966	-10.797421	56000	7.450581e-09	34.073746	-0.031159487	-6.8990808	0.8193555	0.015807148	0.24000001	13.0	29.466325759887695
14	-12.671968	6.7117243	9.327212	-31.340002	23.613094	-7.808099	2.744163	-0.18254438	-10.909935	60000	6.519258e-09	23.546638	-0.029109657	-5.755788	0.8135238	0.015135141	0.21675	12.0	31.408282041549683
15	-10.226414	7.86029	11.88988	-45.165535	24.263803	-6.026743	2.887959	4.6875806	-10.93259	64000	1.1175871e-08	30.351604	-0.02511494	-4.317521	0.80728734	0.015713274	0.25849998	10.0	33.391366720199585
16	-10.405207	6.992292	3.2156174	-55.361805	23.969513	-5.470458	2.853198	7.5847344	-10.940698	68000	1.3038516e-08	26.653141	-0.023459796	-5.9475737	0.8022464	0.015138717	0.20449999	10.0	35.5669310092926
17	-9.260456	5.6636147	5.588644	-24.14725	23.993938	-5.365513	2.854907	7.300373	-10.984014	72000	-5.5879354e-09	16.001907	-0.019114159	-2.351767	0.79791546	0.015045166	0.17449999	8.0	37.86260747909546
18	-9.452359	8.183224	27.578903	-44.359367	24.47826	-4.9319725	2.4592538	4.723577	-10.950502	76000	-2.6077032e-08	29.576937	-0.03140674	-5.296805	0.7941231	0.015264211	0.19175	14.0	39.94006276130676
19	-7.4397774	7.122606	18.84639	-30.103352	24.444445	-4.6473994	3.1352637	9.513312	-10.861112	80000	-7.450581e-09	23.045105	-0.03734909	-5.6357164	0.787227	0.015519723	0.233	21.0	41.96253228187561
20	-6.173069	6.591918	17.896229	-24.463732	23.945454	-4.034871	3.3508167	9.149631	-10.859397	84000	-5.5879354e-09	24.78144	-0.030614719	-5.974284	0.7786536	0.015039722	0.205	13.0	43.986441135406494
21	-6.750875	27.25562	25.92369	-333.87274	25.435064	-2.8906586	2.5546575	8.534598	-10.073577	88000	-2.2351742e-08	180.35658	-0.012558191	-14.04446	0.7741504	0.015172592	0.18875	20.0	45.99152207374573
22	-6.6103945	20.104567	19.941784	-236.48209	26.721088	-2.1101663	3.1451812	9.974212	-10.33379	92000	0.0	256.7939	-0.025464008	-23.84409	0.7706687	0.0099315215	0.25275	79.0	48.209407329559326
23	-3.5442917	7.931358	36.996983	-24.784431	26.39865	-2.492958	3.1131077	9.833943	-11.02253	96000	3.7252903e-09	37.08484	-0.027709015	-12.783529	0.7635426	0.015713723	0.18675001	13.0	50.19762444496155
24	-3.2303731	8.332794	29.494331	-18.317581	27.615385	-1.128593	3.6570313	10.451135	-9.060247	100000	0.0	30.731262	-0.024231933	-7.7631774	0.7606537	0.016386922	0.19225	11.0	52.21506214141846
25	-5.779864	34.787067	34.61224	-337.91724	28.157143	-0.28304	3.9198706	10.368565	-7.567552	104000	-5.5879354e-09	811.62573	-0.015283913	-75.972824	0.7565542	0.016621385	0.24700001	10.0	54.175602197647095
26	1.0076225	11.488418	37.379246	-21.714596	32.694214	-0.28148487	5.548858	11.182996	-11.918538	108000	1.6763806e-08	76.32828	-0.029574528	-31.481651	0.75427186	0.015435165	0.19099998	16.0	56.197779417037964
27	-0.42046827	11.714393	31.99565	-30.396349	33.135593	2.4995303	5.4471664	11.423143	-9.744331	112000	1.4901161e-08	51.589172	-0.028397594	-13.655155	0.75136524	0.015501114	0.19	13.0	58.20684766769409
28	1.6727408	12.14379	47.052654	-14.9415455	31.790323	0.51741505	5.5282087	11.344541	-11.292447	116000	7.450581e-09	58.58941	-0.033620894	-19.068129	0.74838465	0.015118495	0.2305	19.0	60.203205823898315
29	2.2606282	11.27992	48.56432	-20.571247	32.13008	2.5897589	5.5997143	11.647799	-8.005418	120000	5.5879354e-09	45.38626	-0.03573722	-9.141743	0.7430518	0.015482801	0.235	19.0	62.23603010177612
30	4.140203	14.791998	40.22996	-24.871836	34.201756	2.5499976	5.9415	11.778273	-11.177633	124000	7.450581e-09	63.230713	-0.033853292	-22.047342	0.7377618	0.015605691	0.23225	18.0	64.25149321556091
31	1.8503284	49.454727	44.196583	-489.29666	36.174313	4.620756	6.701286	12.58057	-13.086905	128000	-7.450581e-09	1448.3141	-0.022922868	-128.17851	0.73361486	-0.0019691663	0.212	79.0	66.54201245307922
32	6.317303	15.100497	44.74616	-34.919746	36.728973	4.0208583	7.0485854	13.223939	-13.729445	132000	5.2154064e-08	93.02891	-0.030157212	-29.585278	0.7285725	0.01507232	0.176	13.0	68.59155988693237
33	5.1552444	14.171373	47.672905	-18.974794	34.657894	3.9241273	6.7517624	13.698965	-9.064522	136000	1.1175871e-08	76.39128	-0.011117574	-23.232903	0.72730297	0.01704565	0.18650001	6.0	70.59793615341187
34	6.180558	15.28981	52.929993	-25.57538	35.311928	4.5890937	6.8115277	14.005492	-12.845992	140000	3.3527613e-08	75.81197	-0.030824501	-21.66283	0.72631395	0.01558377	0.23374999	17.0	72.66322779655457
35	6.2863603	15.996025	48.007988	-29.702826	38.039215	4.7337003	6.7411475	14.601255	-7.377359	144000	-1.4901161e-08	85.824875	-0.031311154	-25.011637	0.72226214	0.015044989	0.20425001	16.0	74.68637776374817
36	8.726603	16.460848	54.582607	-20.181744	37.25472	5.3502603	7.1069264	15.075583	-8.441684	148000	1.8626451e-08	63.004963	-0.012674656	-15.998426	0.7182992	0.015163179	0.2005	6.0	76.71510410308838
