Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	12.178489	3.5514765	32.828438	-1.3738508	18.671362	0.058470566	0.06076671	0.26244798	-0.16702056	4000	-6.798655e-08	45.614716	-0.020686302	-19.403702	0.91894335	0.016001858	0.1265	10.0	2.0280587673187256
1	13.27596	3.8022435	29.321507	3.921982	18.919048	2.2283926	0.7779327	2.7227244	-2.2118735	8000	-1.1175871e-07	33.066547	-0.026829943	-9.97271	0.91805834	0.015364076	0.16675	20.0	3.9695394039154053
2	13.481829	4.7029886	40.278816	-11.789343	19.00957	3.1813266	1.8824917	4.2905483	-3.8640215	12000	4.1909516e-08	27.005964	-0.026988678	-6.306198	0.91519195	0.01529903	0.18425	21.0	5.851800918579102
3	15.043644	4.924525	37.02372	1.2938298	19.623762	3.692802	2.4633007	5.5028753	-4.815763	16000	4.679896e-08	30.892302	-0.023520619	-7.3746533	0.9115725	0.015417907	0.192	18.0	7.798848867416382
4	15.324718	4.205815	30.517902	-1.8417774	19.845	4.8212442	2.6418245	6.8207893	-5.5199366	20000	7.450581e-09	20.417667	-0.018330626	-4.989374	0.9088109	0.015361877	0.1725	14.0	9.705081701278687
5	16.433964	5.9777856	50.85766	-0.28515553	20.364103	5.377498	3.2082527	7.8935943	-4.940588	24000	1.21071935e-08	29.10149	-0.023752261	-6.113032	0.90690196	0.015002878	0.2295	16.0	11.61885690689087
6	17.015833	5.3880186	41.038002	4.7616925	20.748692	5.99219	3.5299516	9.023968	-3.9234416	28000	-1.1175871e-08	22.193054	-0.019103788	-4.4926147	0.9041045	0.016216762	0.19375	13.0	13.465627908706665
7	19.926697	8.931042	58.20422	3.5268443	22.666666	6.843941	3.8232121	10.049841	-5.9210057	32000	6.7055225e-08	50.292202	-0.017756112	-9.360632	0.90150297	0.015222709	0.20275	11.0	15.3629629611969
8	22.091208	9.723818	60.877228	0.42621788	24.042683	7.8794227	4.4610844	11.5888815	-7.3509216	36000	9.313226e-09	56.11283	-0.019535616	-10.610277	0.8993411	0.01523904	0.22275001	11.0	17.263139724731445
9	25.519066	11.219848	59.38769	6.0132213	26.704699	9.452256	4.8150353	13.1485405	-5.003656	40000	-1.0244548e-08	71.31939	-0.03175576	-13.646728	0.89700913	0.015047692	0.17625	30.0	19.18434739112854
10	26.566254	14.027503	83.91318	2.8775382	26.959183	10.575448	5.53462	14.880042	-9.055434	44000	1.3038516e-08	96.19968	-0.029531984	-15.194924	0.8922237	0.0154487025	0.16075	27.0	21.13501739501953
11	27.570261	12.299118	71.62593	5.2496433	27.985815	11.639388	6.28984	16.62913	-9.082439	48000	-4.1909516e-09	67.53202	-0.0328229	-11.50512	0.8875701	0.015203162	0.18625	36.0	23.15817880630493
12	31.418226	13.448934	74.70276	7.350149	29.466166	12.671334	6.406284	17.92177	-9.639503	52000	1.6763806e-08	88.226494	-0.040446334	-17.894375	0.8821683	0.015124907	0.22925	63.0	25.19194769859314
13	31.8575	15.300069	82.54603	10.830429	29.961832	13.436141	7.173823	19.599438	-4.3161726	56000	-3.1664968e-08	98.92357	-0.031499702	-17.397831	0.8752102	0.015269138	0.18325	32.0	27.2603440284729
14	32.140606	15.008632	99.751434	7.4301376	30.937008	14.750592	7.5881495	21.17839	-5.90571	60000	9.313226e-10	88.76779	-0.015240669	-13.863618	0.87176436	0.015529294	0.19975	10.0	29.229487657546997
15	40.4427	17.677809	78.00171	6.839194	34.535088	16.352995	7.626475	22.405663	-10.166803	64000	-7.450581e-09	129.12656	-0.029198766	-30.24683	0.8706611	0.015037968	0.157	30.0	31.299389839172363
16	39.69369	18.823387	114.49563	12.33858	35.38393	17.235867	8.850153	24.553043	-3.8762088	68000	2.6077032e-08	131.16624	-0.03038395	-23.834885	0.86561257	0.015026655	0.16499999	24.0	33.26977729797363
17	41.15471	19.315727	89.89021	3.7229095	35.477478	18.649414	9.27483	26.233324	-6.822129	72000	-1.8626451e-09	112.00455	-0.012530874	-22.404396	0.86241883	0.016104955	0.195	9.0	35.130624294281006
18	46.995914	20.729046	99.07407	7.543269	39.68687	20.70344	9.252823	27.724049	-3.9638538	76000	-2.6077032e-08	150.1447	-0.03998708	-28.056583	0.8615258	0.0150337	0.21849999	41.0	37.225584745407104
19	54.76301	22.830984	123.8419	10.236049	44.724136	22.752094	9.536799	29.46128	-11.617488	80000	3.5390258e-08	183.76254	-0.03517481	-43.253	0.8557026	0.01511266	0.18650001	36.0	39.21331834793091
20	55.202946	20.584326	99.13218	10.196592	44.643677	24.224817	10.529465	31.731573	-5.0339117	84000	-9.313226e-09	137.57312	-0.03270227	-32.22362	0.8530269	0.01534403	0.1875	33.0	41.246267557144165
21	51.758324	22.62794	101.90173	9.432563	43.47778	24.458553	11.511865	33.573513	-5.1633544	88000	3.7252903e-09	146.42352	-0.040754795	-45.482437	0.8504903	0.015083795	0.234	64.0	43.42503118515015
