Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	11.531139	6.39962	32.56585	-58.50016	19.14976	0.08112466	0.09594077	0.4812682	-0.34870568	4000	-4.0978193e-08	61.343895	-0.023083732	-19.893534	0.91894335	0.015444918	0.13475001	14.0	2.072115182876587
1	12.203042	4.1630287	34.030254	1.3504984	19.336586	2.5470738	1.4990137	3.696151	-3.186348	8000	1.8626451e-08	23.003084	-0.02897171	-6.0332537	0.91758513	0.015371912	0.161	24.0	4.1199140548706055
2	12.911808	4.202696	30.47953	1.7499409	19.717821	3.2753704	2.3675644	5.12381	-4.433795	12000	8.381903e-09	19.766283	-0.027893756	-4.438559	0.9120017	0.015514553	0.195	22.0	6.115307807922363
3	13.624389	3.850539	35.730137	0.2341466	19.536945	3.754564	2.8566782	6.279023	-5.2277384	16000	-3.7252903e-09	16.04407	-0.021371065	-4.2171755	0.9067384	0.015100788	0.12875	13.0	8.355034112930298
4	14.234367	3.9270236	33.041748	5.0730395	19.834171	4.6057844	3.0616877	7.4676747	-4.9113708	20000	-1.8626451e-09	14.914916	-0.024396826	-3.6438134	0.90390384	0.015490007	0.18825	18.0	10.405994653701782
5	15.236203	5.1457243	45.819714	5.7397738	20.790575	4.9836054	3.3235898	8.471597	-4.5881667	24000	3.7252903e-08	19.242207	-0.0228889	-4.449294	0.89978796	0.016643569	0.166	13.0	12.542695760726929
6	16.23166	5.064661	36.51067	7.9594917	21.562162	5.7735057	3.761096	9.566658	-5.6514835	28000	9.313226e-09	18.517365	-0.03830704	-4.3562527	0.89709866	0.015160041	0.24225	41.0	14.587167739868164
7	17.592882	6.444165	46.249424	5.756154	22.577143	6.1617775	4.1783724	10.553834	-6.4328566	32000	-8.381903e-09	25.28398	-0.021341758	-5.462795	0.88970035	0.0153895	0.17899999	15.0	16.509882926940918
8	18.529924	7.137094	50.675972	-10.147264	22.797688	6.78728	4.631649	11.656738	-6.1721635	36000	5.5879354e-09	28.375223	-0.02291931	-6.047081	0.88797843	0.015852615	0.16174999	12.0	18.421894788742065
9	20.508785	9.131731	68.766426	2.218586	25.197453	8.038827	4.7732415	12.741943	-7.0296254	40000	-3.7252903e-09	47.727116	-0.017360974	-9.551333	0.886332	0.016266702	0.236	11.0	20.359347105026245
10	22.327396	9.20626	57.897923	0.4363685	26.945206	8.834666	5.141683	14.0377	-5.9164033	44000	3.3527613e-08	44.721283	-0.018996008	-9.951363	0.8842005	0.015562775	0.19075	12.0	22.347230672836304
11	24.684011	12.462303	67.74662	5.3656573	29.432837	9.565942	5.8935814	15.392855	-8.566954	48000	0.0	73.57573	-0.016762257	-17.192133	0.8812981	0.015341989	0.211	11.0	24.308769464492798
12	29.37453	19.164299	108.32182	3.1651218	35.5	10.680975	6.3210206	17.130466	-11.836516	52000	-8.195639e-08	184.39856	-0.0351993	-49.89042	0.8795821	0.015153475	0.19475001	34.0	26.316535711288452
13	33.072594	20.11104	103.19098	6.1362586	36.52778	12.990436	7.0443807	19.706148	-6.605884	56000	2.9802322e-08	172.75757	-0.031216074	-40.565796	0.8751236	0.015163155	0.15125	29.0	28.36440682411194
14	38.239273	21.4588	118.3248	7.0557055	42.815216	15.266687	7.8801417	22.197836	-11.93422	60000	4.0978193e-08	172.03955	-0.03506504	-43.567703	0.8711938	0.01506959	0.18375	45.0	30.454172134399414
15	38.164497	21.073883	98.119484	6.4587646	43.258427	16.353275	8.742706	24.451027	-8.626239	64000	-1.3038516e-08	167.54709	-0.04549806	-44.76685	0.86786807	0.015097206	0.24275	73.0	32.76781511306763
16	43.37164	24.995953	107.34879	10.429662	49.037975	17.35085	8.934328	25.93111	-4.2159867	68000	7.450581e-09	224.59592	-0.037769426	-68.27916	0.86387736	0.015127117	0.21475	40.0	34.91792678833008
17	40.398182	24.543123	123.397316	9.792136	49.74359	17.065609	10.421054	27.813873	-12.674535	72000	1.4901161e-08	186.92946	-0.036113277	-61.500465	0.86276203	0.015135105	0.19775	38.0	37.16748285293579
18	38.63266	31.035955	113.28947	-128.99907	48.17284	17.345959	11.170085	29.033615	-5.650564	76000	-1.7695129e-08	449.47357	-0.038239628	-133.34401	0.8602993	0.011249541	0.22675	79.0	39.40261268615723
19	48.071896	27.521906	177.24088	7.5580816	52.594593	17.602097	11.318051	29.732761	-18.025665	80000	-1.3038516e-08	247.16615	-0.014032983	-72.192795	0.85726815	0.01658845	0.20199999	9.0	41.4142644405365
20	43.31113	27.284706	149.25027	7.4542723	49.544304	19.538412	11.870417	31.63557	-8.841773	84000	3.7252903e-09	220.4763	-0.035953917	-59.771435	0.8570515	0.015068775	0.18450001	44.0	43.54237627983093
21	52.698368	29.034645	130.74486	8.772044	57.373135	19.899061	12.336212	32.70537	-10.578273	88000	-3.7252903e-09	260.87823	-0.028455373	-82.00084	0.8549095	0.015308549	0.14625	24.0	45.54870343208313
22	49.15897	24.917488	106.31193	12.6633215	51.306667	22.301914	13.12582	34.61248	-8.409795	92000	3.7252903e-09	176.75468	-0.040512484	-47.642975	0.8517608	0.015012309	0.225	44.0	47.60527014732361
23	37.267857	92.857544	125.9357	-500.1074	54.323944	22.832983	12.888222	35.598038	-7.062552	96000	7.450581e-09	2530.5574	-0.025285669	-424.83197	0.85008687	0.008520032	0.176	79.0	49.8269248008728
24	48.289223	26.99833	123.01976	11.63276	51.05195	21.108883	14.581292	36.20771	-31.144537	100000	2.7939677e-08	275.49536	-0.043096304	-138.86955	0.84891516	0.015060954	0.255	52.0	51.91830801963806
25	52.69875	29.582594	139.1841	8.5060215	54.164383	22.822868	13.285461	36.67229	-13.716286	104000	3.7252903e-09	236.74068	-0.031143865	-77.955414	0.8445966	0.015411651	0.18125	24.0	53.91612935066223
26	55.16361	26.225157	117.870026	9.515829	56.35294	24.73026	13.989635	37.883373	-9.595356	108000	1.4901161e-08	180.76175	-0.042916663	-60.155212	0.8431362	0.01500716	0.24825001	62.0	56.08132553100586
27	40.019417	89.75122	115.142235	-692.16547	52.243244	22.804949	14.606342	38.76708	-9.4560375	112000	-2.2351742e-08	3162.6436	-0.021742718	-483.0534	0.841708	0.0060061747	0.17975	79.0	58.203245639801025
28	54.830826	29.118994	141.88983	5.7543554	60.375	22.828392	16.42427	39.233524	-34.13491	116000	2.7939677e-09	264.83173	-0.04570158	-116.24649	0.8397688	0.015005201	0.25325	71.0	60.37189173698425
29	45.437336	71.79234	154.18683	-504.4552	54.083332	23.347132	14.495489	39.982143	-18.943768	120000	7.450581e-09	2385.439	-0.02713596	-298.79022	0.83363855	0.0035235689	0.206	79.0	62.58110022544861
30	54.52474	26.255955	124.02667	7.653972	55.32857	22.625055	15.975165	40.99428	-23.410923	124000	-4.656613e-09	229.51108	-0.034517005	-110.30831	0.8301391	0.015022356	0.219	30.0	64.66413402557373
31	52.297848	27.30929	144.16112	8.01349	56.347828	24.438623	14.980473	41.165592	-24.044733	128000	5.5879354e-08	173.17801	-0.031601127	-45.032734	0.82945114	0.015126122	0.1725	21.0	66.68595862388611
32	49.4122	29.738087	135.32361	8.1459675	55.314285	22.12617	14.591288	41.3716	-30.003632	132000	-2.9336661e-08	215.70047	-0.044820383	-61.514046	0.8264737	0.015054015	0.25475	54.0	68.77146482467651
33	50.391552	26.952831	127.66389	8.385445	50.623375	24.08217	15.232165	41.512203	-20.160118	136000	-2.2351742e-08	167.42369	-0.04823924	-41.7946	0.82380736	0.01507071	0.26950002	75.0	70.98615622520447
34	55.011013	27.697174	131.74878	9.677492	55.042255	23.426609	14.640622	41.68562	-13.735882	140000	-4.0978193e-08	196.80284	-0.030121965	-64.846985	0.8219707	0.01559891	0.167	22.0	72.97971820831299
35	38.141605	93.50711	143.52698	-582.0571	55.471428	26.499044	15.195026	42.134228	-14.290264	144000	0.0	5102.327	-0.0289007	-957.6389	0.8212224	0.006802528	0.2525	79.0	75.209157705307
36	56.994114	31.508013	187.67484	-64.11574	59.95238	19.990269	18.824553	42.69283	-38.796455	148000	1.8626451e-09	1022.3274	-0.033958543	-454.76422	0.82157224	0.015117977	0.2405	46.0	77.30392932891846
37	53.960876	26.87045	104.38805	8.440779	52.824326	25.233364	15.770109	42.43473	-14.279709	152000	7.450581e-09	256.45605	-0.03074443	-103.867004	0.82305	0.015624611	0.192	22.0	79.34405875205994
38	52.303936	28.174803	158.24107	8.491824	56.014492	23.686625	14.84347	42.34265	-15.841164	156000	1.0244548e-08	214.77061	-0.019832525	-64.73238	0.81899685	0.015168921	0.191	13.0	81.3362648487091
39	59.610172	26.895195	137.62914	11.655043	59.015152	24.681824	14.971196	42.40484	-20.198193	160000	3.3527613e-08	194.07892	-0.032228544	-52.531307	0.81661177	0.015175434	0.19675	28.0	83.3621575832367
40	53.051205	26.16186	166.44682	10.4085	57.55224	25.7732	15.060796	43.136955	-26.588606	164000	4.284084e-08	173.97586	-0.015077965	-43.965664	0.81409305	0.015463464	0.1435	8.0	85.30815863609314
41	51.221874	23.417622	102.255264	11.299163	55.057144	24.030594	15.195924	43.077435	-16.565868	168000	-1.4901161e-08	148.96844	-0.02113183	-41.2487	0.81341946	0.015143556	0.15525001	13.0	87.38454866409302
42	59.740227	29.42155	145.97678	11.2942505	60.328125	23.775091	14.800656	42.924583	-22.865202	172000	2.7939677e-09	223.6892	-0.026216934	-71.18854	0.80994064	0.015026692	0.15450001	19.0	89.47588062286377
43	42.841465	105.40432	146.64925	-565.31036	58.338234	27.331148	15.0044775	43.568447	-17.15037	176000	7.450581e-09	7521.1035	-0.028444804	-1459.6865	0.80707264	0.0049176505	0.2445	79.0	91.74418449401855
44	56.068787	25.713032	102.19462	8.542291	57.731342	20.036552	21.999979	44.74482	-39.612095	180000	-2.9336661e-08	515.666	-0.049748506	-357.09882	0.8080238	0.0150572695	0.28475	67.0	93.86471247673035
45	58.692986	28.385433	134.05003	10.374481	56.15942	25.381758	14.840454	43.8185	-16.711697	184000	0.0	204.37204	-0.040186606	-54.764202	0.80928165	0.01501463	0.2315	39.0	95.99649286270142
46	58.600754	28.527765	127.9925	3.8260815	57.911766	26.839632	15.16256	43.92283	-34.06488	188000	-1.4901161e-08	213.67935	-0.04839713	-54.72483	0.8065276	0.01501778	0.28225	70.0	98.15483474731445
47	59.990105	26.069397	114.827995	10.096116	58.439392	26.440235	15.130472	44.169426	-28.628124	192000	-1.8626451e-08	168.21295	-0.030281007	-35.580093	0.8056264	0.015342606	0.19174999	21.0	100.19651937484741
48	62.117805	22.702745	126.77287	18.930336	60.515625	27.926455	15.431326	44.374638	-19.000515	196000	0.0	141.4292	-0.03330758	-29.254763	0.8048595	0.015144023	0.21724999	25.0	102.24022459983826
