Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.99274422863338E-08,0.0627785232806068,-0.00140559366517001,0,0,0,1.86977241288359,0.00479191131050549,3.90881402194306E-09,-7.46774984462918E-09,0.0107382223914361,0.000736442802352788,0.0136871237771052,0,0,0,0,0,0,package://centaur_urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://centaur_urdf/meshes/base_link.STL,,y轴齿轮箱-1;机电外壳-3;273752_RE35_GB_90W_KL_2WE-7;273752_RE35_GB_90W_KL_2WE-8,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LPelvis01,0.011229,-0.003225,-0.025461,0,0,0,0.10228,3.6191E-05,2.8934E-06,-5.2913E-07,4.1712E-05,1.5198E-07,5.3341E-05,0,0,0,0,0,0,package://centaur_urdf/meshes/LPelvis01.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://centaur_urdf/meshes/LPelvis01.STL,,右yz连接平台-1,坐标系2,基准轴2,Lhipy,revolute,0.12,0.07,0,1.5708,0,0,base_link,0,0,-1,0,0,-2,2,,,,,,,,
LPelvis02,0.030747,0.043959,-0.053175,0,0,0,1.2721,0.0039413,0.00010999,2.6582E-05,0.0030337,-0.00066066,0.0057264,0,0,0,0,0,0,package://centaur_urdf/meshes/LPelvis02.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://centaur_urdf/meshes/LPelvis02.STL,,右xz轴齿轮箱-1;机电外壳-1;273752_RE35_GB_90W_KL_2WE-1;273752_RE35_GB_90W_KL_2WE-3;273752_RE35_GB_90W_KL_2WE-6,坐标系3,基准轴3,Lhipz,revolute,0.02,-0.02,-0.025,-1.5708,0,0,LPelvis01,0,0,-1,0,0,-2,2,,,,,,,,
LThigh,0.068249,-0.10404,0.027078,0,0,0,1.3138,0.03289,0.019361,0.00061008,0.016077,-0.00092999,0.047578,0,0,0,0,0,0,package://centaur_urdf/meshes/LThigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://centaur_urdf/meshes/LThigh.STL,,右大腿件-1;皮带大轮-1;皮带-1,坐标系4,基准轴4,Lhipx,revolute,0.13,0,-0.055,1.5708,0,1.5708,LPelvis02,0,0,-1,0,0,-2,2,,,,,,,,
LCalf,-0.075262,-0.10701,0.035,0,0,0,0.42989,0.0055581,-0.003716,-2.1124E-10,0.0028884,-3.3819E-10,0.0080157,0,0,0,0,0,0,package://centaur_urdf/meshes/LCalf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://centaur_urdf/meshes/LCalf.STL,,小腿杆-2;皮带小轮-1,坐标系5,基准轴5,Lkneex,revolute,0.30717,-0.46824,0,0,0,0,LThigh,0,0,-1,0,0,-1,1,,,,,,,,
LFoot,0.0075881,-0.048108,0.01,0,0,0,0.13962,5.5783E-05,6.6601E-06,-1.7724E-12,0.00030802,1.4707E-12,0.00030837,0,0,0,0,0,0,package://centaur_urdf/meshes/LFoot.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://centaur_urdf/meshes/LFoot.STL,,足部-1,坐标系6,基准轴6,Lanklex,revolute,-0.32217,-0.45805,0.025,0,0,0,LCalf,0,0,1,0,0,-0.3,0.3,,,,,,,,
RPelvis01,-0.011229,-0.003225,-0.025461,0,0,0,0.10228,3.6191E-05,-2.8934E-06,5.2913E-07,4.1712E-05,1.5198E-07,5.3341E-05,0,0,0,0,0,0,package://centaur_urdf/meshes/RPelvis01.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://centaur_urdf/meshes/RPelvis01.STL,,左yz连接平台-1,坐标系7,基准轴7,Rhipy,revolute,-0.12,0.07,0,1.5708,0,0,base_link,0,0,-1,0,0,-2,2,,,,,,,,
RPelvis02,-0.030747,0.043959,-0.053175,0,0,0,1.2721,0.0039413,-0.00010998,-2.6601E-05,0.0030337,-0.00066067,0.0057264,0,0,0,0,0,0,package://centaur_urdf/meshes/RPelvis02.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://centaur_urdf/meshes/RPelvis02.STL,,左xz轴齿轮箱-1;机电外壳-2;273752_RE35_GB_90W_KL_2WE-4;273752_RE35_GB_90W_KL_2WE-9;273752_RE35_GB_90W_KL_2WE-2,坐标系8,基准轴8,Rhipz,revolute,-0.02,-0.02,-0.025,-1.5708,0,0,RPelvis01,0,0,-1,0,0,-2,2,,,,,,,,
RThigh,-0.068248591184368,-0.104037584054621,0.0270775562011833,0,0,0,1.31379565424727,0.0328896081972683,-0.0193609931199482,-0.000610076143023301,0.0160766711006057,-0.000929994991955905,0.0475775788276022,0,0,0,0,0,0,package://centaur_urdf/meshes/RThigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://centaur_urdf/meshes/RThigh.STL,,左大腿件-1;皮带大轮-2;皮带-2,坐标系9,基准轴9,Rhipx,revolute,-0.13,0,-0.055,1.5708,0,-1.5708,RPelvis02,0,0,-1,0,0,-2,2,,,,,,,,
RCalf,0.075262,-0.10701,0.035,0,0,0,0.42989,0.0055581,0.003716,2.4682E-10,0.0028884,-3.1279E-10,0.0080157,0,0,0,0,0,0,package://centaur_urdf/meshes/RCalf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://centaur_urdf/meshes/RCalf.STL,,皮带小轮-2;小腿杆-1,坐标系10,基准轴10,Rkneex,revolute,-0.30717,-0.46824,0,0,0,0,RThigh,0,0,-1,0,0,-1,1,,,,,,,,
