Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1161.4719	273.0717	-763.4448	-1763.58	200.0	-0.14031948	0.14566678	0.090887114	-0.36073112	4000	-3.671646e-08	138864.25	-0.0055842567	-5624.6875	0.91893786	0.0034663163	0.06	79.0	2.0712928771972656
1	-1130.8278	253.97949	-825.508	-1709.8295	200.0	-8.660307	0.63819265	-7.3584723	-9.666884	8000	1.9645691e-07	121148.05	-0.003072669	-4733.922	0.89991003	0.0050215498	0.0365	79.0	4.173268795013428
2	-1122.1127	266.2537	-869.33606	-1815.7289	200.0	-16.576649	0.15093413	-16.149279	-16.806046	12000	-4.4345857e-08	116478.0	-0.0028604837	-3601.1328	0.87827843	0.0023099007	0.029	79.0	6.274425268173218
3	-1225.1687	245.2627	-896.38074	-1608.2094	200.0	-22.747011	0.051178295	-22.59152	-22.807055	16000	-5.3405763e-08	134262.2	-0.0056757107	-3861.5156	0.88416296	0.004397626	0.04875	79.0	8.420045614242554
4	-1082.9358	188.7777	-765.98157	-1456.2296	200.0	-28.790716	0.043538485	-28.670893	-28.848278	20000	-4.1007997e-08	97724.56	-0.0027274285	-2801.6562	0.87827295	0.0025335571	0.01275	79.0	10.549930810928345
5	-1211.4143	318.11884	-888.79913	-1828.51	200.0	-33.971306	0.032201737	-33.856876	-34.002583	24000	-8.5353854e-08	127078.27	-0.0038094409	-3325.836	0.8772436	0.00643835	0.05025	79.0	12.663843154907227
6	-1181.0515	296.34692	-779.2368	-1778.7625	200.0	-39.506523	0.017740969	-39.45165	-39.526127	28000	-1.0490417e-08	117530.555	-0.0019565844	-3131.25	0.9004233	0.003996553	0.01875	79.0	14.791357278823853
7	-1159.9443	244.00891	-889.34357	-1612.7327	200.0	-44.88176	0.014258993	-44.835056	-44.89724	32000	1.2540818e-07	106492.1	-0.0036908002	-2836.289	0.907044	0.0048419307	0.03675	79.0	16.905632734298706
8	-1272.9656	352.0551	-749.01465	-1802.0631	200.0	-50.00461	0.009347249	-49.975178	-50.013313	36000	8.964538e-08	132744.17	-0.0033350168	-3352.2031	0.89421785	0.0036166813	0.052	79.0	19.03716278076172
9	-1153.7795	318.09048	-869.8074	-1870.1128	200.0	-55.51056	0.00965431	-55.479755	-55.521465	40000	-1.2874604e-08	103758.93	-0.0030967612	-2648.0	0.8733652	0.00093625014	0.034	79.0	21.154399633407593
10	-1280.3413	329.94974	-872.78	-1856.2074	200.0	-60.470642	0.0054132654	-60.44881	-60.47577	44000	2.5749207e-08	126774.914	-0.004524179	-3163.0625	0.87861675	0.002892018	0.045	79.0	23.281992197036743
11	-1081.9832	220.70694	-872.96783	-1666.9658	200.0	-65.81866	0.006038691	-65.79739	-65.82579	48000	4.7683715e-09	79837.37	-0.004963956	-2076.2734	0.88955677	0.0046530827	0.052	79.0	25.402651071548462
12	-1221.6958	355.21982	-856.0405	-1897.289	200.0	-70.25914	0.003969835	-70.24789	-70.263374	52000	1.0871887e-07	110029.016	-0.005388488	-2647.5078	0.8850724	0.007370136	0.04475	79.0	27.518568992614746
13	-1168.7701	299.12003	-882.4663	-1834.4165	200.0	-75.19566	0.003869281	-75.18675	-75.20001	56000	-1.525879e-08	94852.914	-0.0026848863	-2401.3281	0.8836577	0.0035572418	0.0235	79.0	29.666189908981323
