Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-30.964346	7.881146	-10.277132	-63.91397	20.451283	0.26634893	0.046510812	0.50254095	0.101941526	4000	-4.656613e-08	360.1192	-0.05067961	-67.33426	0.91894335	0.020393897	0.12799999	79.0	2.2117152214050293
1	-27.461119	8.030279	-9.982557	-47.429695	20.055838	-1.913345	0.6579243	-0.07244166	-4.189665	8000	-1.1175871e-08	230.48169	-0.057585113	-170.09647	0.90312666	0.01598586	0.169	79.0	4.306461811065674
2	-25.078653	7.788689	-9.77918	-56.75134	20.31282	-13.839447	5.0359716	-0.38356164	-29.107466	12000	1.9092113e-08	56.196648	-0.05489356	-17.993849	0.88423526	0.024357148	0.14175001	79.0	6.4710612297058105
3	-23.707184	8.311326	-3.9460454	-55.87281	20.806282	-12.798314	5.36647	-0.5422324	-26.47239	16000	-2.2351742e-08	44.667862	-0.060688186	-6.818553	0.867706	0.023341041	0.16525	79.0	8.61238718032837
4	-19.828218	7.06015	-4.09052	-52.334682	20.984127	-13.002905	5.5920873	-0.71888715	-26.574986	20000	1.8626451e-08	36.619225	-0.06252569	-8.7705145	0.85252607	0.023682391	0.16275	79.0	10.773473501205444
5	-18.35286	7.6679173	-0.74579525	-44.774612	21.247313	-10.926773	4.497179	-0.3594758	-21.62727	24000	-1.8626451e-09	32.533394	-0.069408014	-2.7564564	0.8331825	0.024848877	0.19125	79.0	12.980322360992432
6	-15.558384	6.4133806	1.1311998	-38.298492	20.727749	-10.186057	4.34882	-0.5831543	-19.63005	28000	-1.1641532e-08	22.713066	-0.07028623	-3.92277	0.81354684	0.03319179	0.2015	79.0	15.131530046463013
7	-13.409132	5.9775324	2.4858603	-30.569056	21.05851	-8.518784	3.5526485	-0.683492	-16.404953	32000	7.450581e-09	19.045965	-0.07490522	-2.1937873	0.7926281	0.025633544	0.21075	79.0	17.548200368881226
8	-11.145335	6.104845	1.6114664	-36.743626	20.873684	-7.5021358	3.0655735	-0.4417691	-16.057798	36000	1.21071935e-08	18.48545	-0.0761901	-2.321976	0.77090764	0.035405587	0.23125	79.0	19.740957736968994
9	-8.359049	4.9899898	8.946682	-24.397932	20.930851	-6.2923727	2.5833292	-0.7784517	-13.523377	40000	1.4901161e-08	14.067873	-0.07699906	-2.673591	0.7490009	0.034783408	0.24375	79.0	21.855063438415527
10	-6.8912125	5.33002	4.514801	-24.863699	21.481081	-4.801367	2.0112748	-0.6436022	-10.838657	44000	-2.7939677e-08	16.180742	-0.07420689	-1.4424837	0.7279262	0.036826238	0.22	79.0	24.01448965072632
11	-9.150041	51.431644	13.389436	-703.0998	21.551352	-4.2281866	1.5343075	-0.60487694	-10.887555	48000	0.0	2619.3691	-0.024827646	-177.7466	0.7070537	0.008069528	0.091749996	79.0	26.23195457458496
12	-4.9333715	5.120051	10.27151	-23.197021	21.36413	-8.671968	7.018052	-0.4416513	-49.11428	52000	-4.8428774e-08	84.56865	-0.06636032	-66.231636	0.7051382	0.036642045	0.20449999	79.0	28.369492769241333
13	-3.6781452	4.956799	13.19523	-21.239397	21.872929	-2.2487397	2.037803	-0.3056434	-20.131678	56000	1.6763806e-08	16.679193	-0.07469459	-2.4481435	0.6986331	0.03440794	0.22875	79.0	30.50979471206665
14	-2.3093238	4.8823113	10.622639	-16.709087	22.17514	-1.8598542	1.421946	-0.35422623	-15.270532	60000	5.5879354e-09	13.77467	-0.08185941	-1.8466175	0.68162704	0.04543517	0.26725	79.0	32.62647867202759
15	-0.56370133	5.5712104	35.365124	-13.698349	22.37288	-1.3789817	0.97459316	-0.37480596	-12.105877	64000	-1.8626451e-08	17.089348	-0.076514594	-0.99848473	0.65985936	0.040731296	0.238	79.0	34.7716064453125
