Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-36.764465	10.634828	-13.0117855	-73.269394	21.543478	0.1507232	0.17023773	0.8159318	-0.42849672	4000	-4.5634806e-08	533.1787	-0.07537611	-95.10403	0.91894335	0.008685585	0.335	79.0	2.1835081577301025
1	-31.34538	8.555028	-6.011288	-69.51215	21.268818	-2.2513475	0.9571145	0.09132509	-5.5211005	8000	8.568168e-08	308.26627	-0.072115704	-121.13319	0.9113056	0.0077726617	0.32874998	79.0	4.2289345264434814
2	-32.747807	26.404896	-9.052726	-366.30115	21.532608	-7.0262437	3.0878928	0.021468267	-19.520767	12000	1.8626451e-09	657.57495	-0.037277658	-112.00934	0.9016547	-0.001754541	0.26775002	79.0	6.271169900894165
3	-29.315397	9.484261	-12.331658	-70.12988	21.408602	-12.760806	5.3432407	-0.060322896	-30.625153	16000	-7.450581e-09	93.561325	-0.074281946	-18.623634	0.8921205	0.01505267	0.34625	63.0	8.286609649658203
4	-27.428078	8.631863	-7.239519	-58.79177	21.535135	-14.4592285	5.934646	-0.22815694	-34.24421	20000	2.8871e-08	66.002335	-0.077101275	-8.637779	0.8839098	0.014231652	0.36	79.0	10.322776556015015
5	-28.908333	38.289707	-8.490462	-527.30414	21.872223	-14.056931	5.99959	-0.29527092	-29.627773	24000	1.3038516e-08	242.68689	-0.033318937	-6.353862	0.87292737	0.010997895	0.29000002	79.0	12.385658025741577
6	-25.091799	8.459605	-5.7336802	-54.404587	22.179775	-14.34984	5.918335	-0.31430727	-28.286064	28000	-1.3038516e-08	50.034042	-0.05362696	-3.6207008	0.86285394	0.015069679	0.2385	26.0	14.276266098022461
7	-23.028584	8.0262785	-1.3671035	-53.246674	22.27528	-13.769329	5.671937	-0.39274	-27.927229	32000	2.0489097e-08	42.685135	-0.06645795	-4.433162	0.85334045	0.0150398975	0.302	46.0	16.23901653289795
8	-22.13356	7.081291	8.699303	-42.307564	21.845304	-12.704616	5.270674	-0.88892627	-25.627699	36000	0.0	33.97805	-0.051511284	-2.5062842	0.84158087	0.01500729	0.211	25.0	18.115474700927734
9	-22.184406	37.07762	0.70097506	-505.26184	22.151686	-12.228998	5.1855	-0.62063944	-23.595806	40000	1.4901161e-08	744.17993	-0.0234813	-16.58602	0.8337974	0.00038795616	0.22375	79.0	20.181062936782837
