Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-32.08644	7.9212003	-14.411079	-65.20766	19.571428	0.076688424	0.04008854	0.2687769	-0.089904904	4000	2.514571e-08	395.02902	-0.0935156	-325.37927	0.91894335	0.00095460494	0.354	79.0	2.478178024291992
1	-30.16164	8.755086	-8.639266	-59.90343	19.648516	-17.675919	7.118614	-0.8791523	-40.173794	8000	2.4214387e-08	71.41684	-0.094364926	-27.236725	0.9082218	0.007837874	0.38099998	79.0	4.885560989379883
2	-28.473726	8.184234	-9.877625	-52.76326	19.78	-15.981762	7.1398616	-1.4710319	-32.64958	12000	1.3038516e-08	44.375534	-0.10297957	-6.3877273	0.8996541	0.015073646	0.41825	77.0	7.565770387649536
3	-26.827543	7.5790224	-9.924703	-50.24845	19.8	-15.611177	6.5914955	-1.539276	-29.911985	16000	-3.7252903e-09	37.54096	-0.080521986	-5.2491827	0.8868712	0.0150766075	0.32599998	41.0	9.89055609703064
4	-23.763231	7.002812	-9.284493	-47.080185	19.623762	-14.652949	6.5592923	-1.5542995	-27.579748	20000	-1.1641532e-08	28.435055	-0.08306192	-5.0038652	0.8770759	0.015067993	0.32075	40.0	12.188925504684448
5	-23.283058	7.2562294	-6.125266	-46.42587	20.095959	-13.4099655	5.5832896	-1.7177263	-24.384445	24000	-1.1175871e-08	27.616549	-0.1043311	-3.5891066	0.8664167	0.015020222	0.4265	73.0	14.715183019638062
6	-20.80201	6.578686	-2.660353	-42.004883	19.939394	-12.779256	5.5592275	-1.9925205	-23.38579	28000	3.1664968e-08	25.322674	-0.06608532	-3.9922886	0.8530032	0.015349984	0.27775	23.0	16.950908422470093
7	-19.482052	6.990734	-4.151378	-41.87465	20.22335	-11.426363	4.8294196	-2.2774897	-21.192469	32000	3.7252903e-09	23.285686	-0.050263036	-2.2349808	0.845369	0.01575932	0.18025	15.0	19.09770107269287
8	-19.7124	6.1403465	-4.274102	-47.91251	20.241026	-11.080639	4.473885	-2.177605	-21.084032	36000	-9.313226e-09	21.573826	-0.053859003	-3.6966383	0.8388885	0.015372642	0.23025	18.0	21.203734159469604
9	-17.169456	5.883026	-4.003873	-34.803787	20.142857	-10.894358	4.88472	-1.6163816	-21.967367	40000	1.1175871e-08	19.961601	-0.05966171	-4.0370817	0.8313447	0.015907275	0.25725	21.0	23.31779408454895
10	-16.021286	6.3684688	-0.8245826	-37.730137	20.494844	-9.639522	4.010149	-2.0054882	-19.097025	44000	4.0978193e-08	19.34137	-0.050679173	-1.9423163	0.82377636	0.015381256	0.20899999	17.0	25.400984287261963
11	-14.129292	5.870003	2.0827703	-31.647253	20.469072	-8.6957445	3.5875978	-1.7493755	-16.726328	48000	-9.313226e-09	17.730175	-0.056920275	-1.8605669	0.81738204	0.015626146	0.25525	21.0	27.54893207550049
12	-13.832455	5.855685	0.72034377	-30.217136	20.609375	-8.076482	3.2560718	-1.6174535	-16.624155	52000	-3.7252903e-09	15.83413	-0.054967515	-1.3409991	0.8095415	0.015672956	0.23975	18.0	29.65957260131836
13	-11.748996	5.9041653	2.6386557	-30.69245	20.595856	-7.6052012	3.0867002	-1.3589251	-16.619692	56000	-3.7252903e-09	16.768093	-0.020166207	-2.0128932	0.8026496	0.01670918	0.224	6.0	31.717045783996582
14	-11.446168	5.5977883	1.0637678	-30.645697	21.209677	-6.5838437	2.7477348	-1.3010993	-14.359892	60000	-1.2340024e-08	15.54633	-0.021535777	-1.4964023	0.80030584	0.015203596	0.2315	7.0	33.97082495689392
15	-10.295531	5.2271757	2.3781552	-26.182457	20.88421	-6.3437734	2.5753574	-1.4227374	-14.286766	64000	3.7252903e-09	11.959612	-0.018967988	-1.7869399	0.79752386	0.018108048	0.14050001	5.0	36.240633487701416
16	-10.1484375	5.30207	6.3786073	-23.849712	21.35326	-5.756549	2.3786712	-1.1129463	-12.483917	68000	1.3038516e-08	13.051512	-0.014214225	-1.2803819	0.79545176	0.01641142	0.20975	5.0	38.38270163536072
17	-8.60481	5.2462234	4.8892245	-23.839468	22.66092	-5.647873	2.176	-1.0311102	-11.55837	72000	3.7252903e-08	14.486287	-0.051344946	-1.9882565	0.7933312	0.01563014	0.2465	19.0	40.48920488357544
18	-7.783892	6.2452765	9.5576725	-36.123783	22.655172	-4.7706327	2.094639	-0.9202872	-11.137066	76000	-3.7252903e-09	17.808697	-0.04473406	-2.6165776	0.78683233	0.015831053	0.177	15.0	42.703248739242554
